date,glkwiki (100+),glkwiki (5+),glkwiki (all)
2012/08/19,,8,28
2012/08/20,,8,28
2012/08/21,,6,26
2012/08/22,,6,27
2012/08/23,,6,26
2012/08/24,,5,27
2012/08/25,,5,29
2012/08/26,,5,29
2012/08/27,,5,30
2012/08/28,,5,31
2012/08/29,,5,31
2012/08/30,,5,32
2012/08/31,,5,32
2012/09/01,,7,34
2012/09/02,,7,34
2012/09/03,,7,34
2012/09/04,,7,34
2012/09/05,,7,34
2012/09/06,,7,35
2012/09/07,,7,34
2012/09/08,,6,33
2012/09/09,,6,32
2012/09/10,,6,31
2012/09/11,,6,30
2012/09/12,,6,31
2012/09/13,,6,28
2012/09/14,,7,28
2012/09/15,,7,26
2012/09/16,,7,26
2012/09/17,,7,27
2012/09/18,,8,27
2012/09/19,,8,27
2012/09/20,,8,27
2012/09/21,,7,27
2012/09/22,,7,27
2012/09/23,,7,26
2012/09/24,,7,23
2012/09/25,,6,23
2012/09/26,,6,23
2012/09/27,,6,22
2012/09/28,,7,22
2012/09/29,,7,22
2012/09/30,,9,22
2012/10/01,,7,19
2012/10/02,,7,19
2012/10/03,,6,20
2012/10/04,1,7,22
2012/10/05,1,8,21
2012/10/06,1,9,22
2012/10/07,1,9,22
2012/10/08,1,9,23
2012/10/09,1,9,23
2012/10/10,1,9,23
2012/10/11,1,8,22
2012/10/12,1,10,22
2012/10/13,1,10,23
2012/10/14,1,9,24
2012/10/15,1,8,23
2012/10/16,1,8,23
2012/10/17,1,8,24
2012/10/18,1,8,23
2012/10/19,1,8,22
2012/10/20,1,7,23
2012/10/21,1,8,23
2012/10/22,1,9,23
2012/10/23,1,10,24
2012/10/24,1,10,24
2012/10/25,1,10,24
2012/10/26,1,10,24
2012/10/27,1,10,23
2012/10/28,1,10,23
2012/10/29,1,8,22
2012/10/30,1,8,22
2012/10/31,1,8,22
2012/11/01,1,8,23
2012/11/02,1,8,23
2012/11/03,1,9,23
2012/11/04,1,8,24
2012/11/05,1,7,24
2012/11/06,,7,24
2012/11/07,,7,23
2012/11/08,,6,23
2012/11/09,,7,23
2012/11/10,,7,24
2012/11/11,,7,24
2012/11/12,,7,23
2012/11/13,,7,23
2012/11/14,,8,23
2012/11/15,,10,23
2012/11/16,,11,24
2012/11/17,,11,23
2012/11/18,1,11,23
2012/11/19,1,12,22
2012/11/20,1,11,23
2012/11/21,1,12,23
2012/11/22,1,12,23
2012/11/23,1,12,23
2012/11/24,1,12,24
2012/11/25,1,12,24
2012/11/26,1,12,23
2012/11/27,1,12,26
2012/11/28,1,12,26
2012/11/29,1,13,25
2012/11/30,1,13,25
2012/12/01,1,12,27
2012/12/02,1,11,28
2012/12/03,1,11,26
2012/12/04,1,11,25
2012/12/05,1,11,24
2012/12/06,1,11,24
2012/12/07,1,11,24
2012/12/08,1,11,24
2012/12/09,1,11,24
2012/12/10,1,11,26
2012/12/11,1,11,28
2012/12/12,1,11,29
2012/12/13,1,10,28
2012/12/14,1,8,29
2012/12/15,1,8,31
2012/12/16,1,7,30
2012/12/17,,7,32
2012/12/18,,9,32
2012/12/19,,9,32
2012/12/20,,9,31
2012/12/21,,10,31
2012/12/22,,9,32
2012/12/23,,9,32
2012/12/24,,9,33
2012/12/25,,9,33
2012/12/26,,11,34
2012/12/27,,11,32
2012/12/28,,10,33
2012/12/29,,10,34
2012/12/30,,11,34
2012/12/31,,11,35
2013/01/01,,11,34
2013/01/02,,11,35
2013/01/03,,11,35
2013/01/04,,11,37
2013/01/05,,11,38
2013/01/06,,11,38
2013/01/07,,13,38
2013/01/08,,13,38
2013/01/09,,13,37
2013/01/10,,13,37
2013/01/11,,13,37
2013/01/12,,13,38
2013/01/13,,13,37
2013/01/14,,13,35
2013/01/15,,13,36
2013/01/16,,12,36
2013/01/17,,12,36
2013/01/18,,12,36
2013/01/19,,12,38
2013/01/20,,10,36
2013/01/21,,10,35
2013/01/22,,10,34
2013/01/23,,10,34
2013/01/24,,10,33
2013/01/25,,10,35
2013/01/26,,11,36
2013/01/27,,11,36
2013/01/28,,12,39
2013/01/29,,11,39
2013/01/30,,11,39
2013/01/31,,11,41
2013/02/01,,12,40
2013/02/02,,12,40
2013/02/03,,12,40
2013/02/04,,12,40
2013/02/05,,11,39
2013/02/06,,13,38
2013/02/07,,15,39
2013/02/08,,16,41
2013/02/09,,16,40
2013/02/10,,17,40
2013/02/11,,17,38
2013/02/12,,18,39
2013/02/13,,18,39
2013/02/14,,19,38
2013/02/15,,19,37
2013/02/16,,19,37
2013/02/17,,19,36
2013/02/18,,19,37
2013/02/19,,18,38
2013/02/20,,18,38
2013/02/21,,18,38
2013/02/22,,18,36
2013/02/23,,17,36
2013/02/24,,14,34
2013/02/25,,13,34
2013/02/26,,13,34
2013/02/27,,13,33
2013/02/28,,13,34
2013/03/01,,14,34
2013/03/02,,14,32
2013/03/03,,14,32
2013/03/04,,15,32
2013/03/05,,15,33
2013/03/06,,15,34
2013/03/07,,16,36
2013/03/08,1,16,33
2013/03/09,1,16,32
2013/03/10,1,15,30
2013/03/11,1,15,29
2013/03/12,1,14,30
2013/03/13,1,14,30
2013/03/14,1,13,29
2013/03/15,1,13,29
2013/03/16,1,12,29
2013/03/17,1,12,30
2013/03/18,1,13,28
2013/03/19,1,13,29
2013/03/20,1,11,29
2013/03/21,1,11,28
2013/03/22,1,11,29
2013/03/23,1,11,29
