date,glkwiki (100+),glkwiki (5+),glkwiki (all)
2013/03/24,1,11,29
2013/03/25,1,11,29
2013/03/26,1,11,29
2013/03/27,1,11,28
2013/03/28,1,10,28
2013/03/29,1,11,29
2013/03/30,1,11,28
2013/03/31,1,10,26
2013/04/01,1,10,25
2013/04/02,1,10,25
2013/04/03,1,9,23
2013/04/04,1,9,20
2013/04/05,1,9,19
2013/04/06,1,9,19
2013/04/07,1,9,18
2013/04/08,,9,17
2013/04/09,,8,18
2013/04/10,,7,18
2013/04/11,,7,18
2013/04/12,,7,19
2013/04/13,,8,21
2013/04/14,,9,21
2013/04/15,,9,22
2013/04/16,,9,22
2013/04/17,,9,22
2013/04/18,,8,20
2013/04/19,,9,22
2013/04/20,,9,23
2013/04/21,,9,23
2013/04/22,,9,23
2013/04/23,,10,24
2013/04/24,,10,23
2013/04/25,,10,23
2013/04/26,,11,24
2013/04/27,,11,24
2013/04/28,,10,23
2013/04/29,,10,23
2013/04/30,,10,23
2013/05/01,,11,23
2013/05/02,,11,24
2013/05/03,,10,24
2013/05/04,,10,24
2013/05/05,,9,21
2013/05/06,,8,21
2013/05/07,,8,21
2013/05/08,,8,21
2013/05/09,,8,21
2013/05/10,,8,22
2013/05/11,,8,20
2013/05/12,,9,19
2013/05/13,,8,18
2013/05/14,,7,18
2013/05/15,,7,18
2013/05/16,,7,18
2013/05/17,,6,17
2013/05/18,,6,18
2013/05/19,,6,18
2013/05/20,,6,20
2013/05/21,,7,19
2013/05/22,,7,19
2013/05/23,,6,18
2013/05/24,,6,18
2013/05/25,,5,18
2013/05/26,,4,17
2013/05/27,,4,17
2013/05/28,,4,17
2013/05/29,,5,20
2013/05/30,,5,20
2013/05/31,,6,21
2013/06/01,,7,20
2013/06/02,,7,19
2013/06/03,,7,19
2013/06/04,,7,19
2013/06/05,,7,19
2013/06/06,,6,19
2013/06/07,,6,19
2013/06/08,,6,20
2013/06/09,,6,19
2013/06/10,,6,19
2013/06/11,,6,18
2013/06/12,,5,18
2013/06/13,,5,17
2013/06/14,,5,17
2013/06/15,,5,17
2013/06/16,,5,18
2013/06/17,,5,17
2013/06/18,,5,17
2013/06/19,,5,15
2013/06/20,,5,17
2013/06/21,,6,18
2013/06/22,,6,19
2013/06/23,,6,20
2013/06/24,,6,20
2013/06/25,,6,19
2013/06/26,,6,20
2013/06/27,,6,20
2013/06/28,,5,20
2013/06/29,,5,20
2013/06/30,,4,19
2013/07/01,,3,16
2013/07/02,,3,16
2013/07/03,,4,18
2013/07/04,,3,18
2013/07/05,,3,20
2013/07/06,,2,21
2013/07/07,,2,21
2013/07/08,,2,19
2013/07/09,,2,19
2013/07/10,,3,19
2013/07/11,,3,19
2013/07/12,,3,19
2013/07/13,,3,19
2013/07/14,,3,19
2013/07/15,,3,19
2013/07/16,,3,18
2013/07/17,,3,18
2013/07/18,,3,18
2013/07/19,,3,17
2013/07/20,,3,15
2013/07/21,,2,14
2013/07/22,,3,14
2013/07/23,,3,13
2013/07/24,,3,14
2013/07/25,,3,14
2013/07/26,,3,13
2013/07/27,,3,13
2013/07/28,,3,12
2013/07/29,,3,12
2013/07/30,,3,11
2013/07/31,,3,11
2013/08/01,,3,12
2013/08/02,,2,10
2013/08/03,,2,11
2013/08/04,,2,10
2013/08/05,,2,9
2013/08/06,,2,10
2013/08/07,,2,10
2013/08/08,,2,10
2013/08/09,,2,10
2013/08/10,,2,10
2013/08/11,,3,11
2013/08/12,,4,13
2013/08/13,,4,13
2013/08/14,,4,13
2013/08/15,,4,13
2013/08/16,,4,13
2013/08/17,,4,13
2013/08/18,,4,13
2013/08/19,,4,13
2013/08/20,,4,13
2013/08/21,,4,13
2013/08/22,,4,14
2013/08/23,,4,13
2013/08/24,,4,13
2013/08/25,,4,13
2013/08/26,,4,13
2013/08/27,,4,13
2013/08/28,,4,13
2013/08/29,,4,13
2013/08/30,,5,12
2013/08/31,,5,12
2013/09/01,,5,12
2013/09/02,,5,13
2013/09/03,,5,11
2013/09/04,,6,12
2013/09/05,,6,11
2013/09/06,,6,11
2013/09/07,,6,11
2013/09/08,,6,11
2013/09/09,,5,11
2013/09/10,,4,10
2013/09/11,,2,10
2013/09/12,,2,10
2013/09/13,,2,10
2013/09/14,,2,10
2013/09/15,,2,10
2013/09/16,,3,10
2013/09/17,,3,10
2013/09/18,,3,10
2013/09/19,,3,9
2013/09/20,,3,7
2013/09/21,,3,7
2013/09/22,,3,7
2013/09/23,,3,7
2013/09/24,,3,7
2013/09/25,,3,8
2013/09/26,,3,8
2013/09/27,,3,8
2013/09/28,,3,8
2013/09/29,,3,7
2013/09/30,,3,7
2013/10/01,,2,7
2013/10/02,,2,6
2013/10/03,,2,6
2013/10/04,,1,5
2013/10/05,,1,5
2013/10/06,,1,5
2013/10/07,,1,5
2013/10/08,,1,6
2013/10/09,,1,7
2013/10/10,,1,7
2013/10/11,,2,7
2013/10/12,,2,7
2013/10/13,,2,7
2013/10/14,,2,7
2013/10/15,,2,9
2013/10/16,,1,9
2013/10/17,,1,9
2013/10/18,,1,10
2013/10/19,,1,10
2013/10/20,,1,10
2013/10/21,,1,10
2013/10/22,,1,10
2013/10/23,,1,10
2013/10/24,,1,10
2013/10/25,,1,10
2013/10/26,,1,10
2013/10/27,,1,10
2013/10/28,,1,9
2013/10/29,,1,9
2013/10/30,,1,9
2013/10/31,,1,10
2013/11/01,,1,11
2013/11/02,,1,11
2013/11/03,,2,11
2013/11/04,,2,11
2013/11/05,,2,12
2013/11/06,,2,12
2013/11/07,,2,11
2013/11/08,,2,10
2013/11/09,,2,10
2013/11/10,,1,11
2013/11/11,,1,11
2013/11/12,,1,11
2013/11/13,,1,11
2013/11/14,,1,9
2013/11/15,,1,9
2013/11/16,,1,10
2013/11/17,,1,11
2013/11/18,,1,11
2013/11/19,,2,13
2013/11/20,,2,12
2013/11/21,,3,13
2013/11/22,,3,13
2013/11/23,,3,13
2013/11/24,,3,13
2013/11/25,,3,13
2013/11/26,,3,13
2013/11/27,,3,14
2013/11/28,,3,14
2013/11/29,,3,14
2013/11/30,,3,13
2013/12/01,,3,12
2013/12/02,,2,11
2013/12/03,,1,11
2013/12/04,,1,12
2013/12/05,,1,11
2013/12/06,,1,11
2013/12/07,,3,12
2013/12/08,,3,12
2013/12/09,,3,12
2013/12/10,,3,11
2013/12/11,,3,11
2013/12/12,,3,11
2013/12/13,,3,11
2013/12/14,,3,11
2013/12/15,,3,11
2013/12/16,,3,11
2013/12/17,,3,9
2013/12/18,,3,9
2013/12/19,,2,6
2013/12/20,,2,6
2013/12/21,,1,5
2013/12/22,,1,5
2013/12/23,,1,5
2013/12/24,,1,6
2013/12/25,,1,6
2013/12/26,,1,7
2013/12/27,,1,6
2013/12/28,,1,6
2013/12/29,,1,6
2013/12/30,,1,6
2013/12/31,,1,6
2014/01/01,,1,6
2014/01/02,,1,6
2014/01/03,,1,5
2014/01/04,,1,6
2014/01/05,,1,6
2014/01/06,,1,7
2014/01/07,,1,7
2014/01/08,,1,8
2014/01/09,,1,8
2014/01/10,,1,8
2014/01/11,,1,8
2014/01/12,,1,8
2014/01/13,,1,8
2014/01/14,,1,8
2014/01/15,,1,7
2014/01/16,,2,9
2014/01/17,,2,9
2014/01/18,,2,9
2014/01/19,,2,10
2014/01/20,,2,10
2014/01/21,,2,10
2014/01/22,,2,10
2014/01/23,,2,10
2014/01/24,,2,10
2014/01/25,,2,9
2014/01/26,,2,10
2014/01/27,,2,10
2014/01/28,,2,10
2014/01/29,,2,12
2014/01/30,,2,12
2014/01/31,,2,12
2014/02/01,,2,12
2014/02/02,,2,12
2014/02/03,,2,11
2014/02/04,,2,12
2014/02/05,,2,11
2014/02/06,,2,12
2014/02/07,,2,11
2014/02/08,,2,11
2014/02/09,,2,11
2014/02/10,,2,11
2014/02/11,,2,11
2014/02/12,,2,12
2014/02/13,,2,12
2014/02/14,,2,13
2014/02/15,,1,12
2014/02/16,,1,11
2014/02/17,,1,11
2014/02/18,,1,10
2014/02/19,,1,10
2014/02/20,,1,10
2014/02/21,,1,11
2014/02/22,,1,10
2014/02/23,,1,10
2014/02/24,,1,10
2014/02/25,,1,9
2014/02/26,,1,10
2014/02/27,,1,10
2014/02/28,,1,10
2014/03/01,,1,9
2014/03/02,,1,10
2014/03/03,,,9
2014/03/04,,,10
2014/03/05,,,11
2014/03/06,,,10
2014/03/07,,,9
2014/03/08,,,9
2014/03/09,,,9
2014/03/10,,,9
2014/03/11,,,9
2014/03/12,,,9
2014/03/13,,,9
2014/03/14,,,8
2014/03/15,,,8
2014/03/16,,,7
2014/03/17,,,7
2014/03/18,,,7
2014/03/19,,,7
2014/03/20,,1,7
2014/03/21,,1,7
2014/03/22,,1,7
2014/03/23,,1,6
2014/03/24,,1,6
2014/03/25,,1,7
2014/03/26,,1,7
2014/03/27,,1,7
2014/03/28,,1,8
2014/03/29,,1,8
2014/03/30,,1,8
2014/03/31,,1,10
2014/04/01,,1,10
2014/04/02,,1,10
2014/04/03,,1,9
2014/04/04,,2,8
2014/04/05,,2,8
2014/04/06,,2,7
2014/04/07,,2,6
2014/04/08,,2,6
2014/04/09,,2,6
2014/04/10,,2,6
2014/04/11,,2,6
2014/04/12,,2,7
2014/04/13,,2,8
2014/04/14,,2,8
2014/04/15,,2,9
2014/04/16,,2,9
2014/04/17,,2,9
2014/04/18,,3,10
2014/04/19,,2,10
2014/04/20,,2,10
2014/04/21,,2,10
2014/04/22,,2,9
2014/04/23,,2,9
2014/04/24,,2,8
2014/04/25,,2,8
2014/04/26,,2,8
2014/04/27,,2,9
2014/04/28,,2,9
2014/04/29,,2,9
2014/04/30,,2,7
2014/05/01,,2,7
2014/05/02,,2,7
2014/05/03,,2,7
2014/05/04,,2,7
2014/05/05,,2,7
2014/05/06,,2,8
2014/05/07,,1,8
2014/05/08,,1,8
2014/05/09,,1,9
2014/05/10,,1,9
2014/05/11,,1,9
2014/05/12,,1,8
2014/05/13,,1,8
2014/05/14,,1,8
2014/05/15,,1,7
2014/05/16,,1,7
2014/05/17,,1,7
2014/05/18,,,6
2014/05/19,,,6
2014/05/20,,,6
2014/05/21,,,6
2014/05/22,,,6
2014/05/23,,,6
2014/05/24,,,5
2014/05/25,,,6
2014/05/26,,,7
2014/05/27,,,5
2014/05/28,,,5
2014/05/29,,,5
2014/05/30,,,5
2014/05/31,,,6
2014/06/01,,,6
2014/06/02,,,6
2014/06/03,,,7
2014/06/04,,,7
2014/06/05,,,7
2014/06/06,,,7
2014/06/07,,,7
2014/06/08,,,7
2014/06/09,,,6
2014/06/10,,,7
2014/06/11,,,8
2014/06/12,,,9
2014/06/13,,,11
2014/06/14,,,11
2014/06/15,,,11
2014/06/16,,,11
2014/06/17,,,11
2014/06/18,,,11
2014/06/19,,,11
2014/06/20,,,11
2014/06/21,,,12
2014/06/22,,,13
2014/06/23,,,13
2014/06/24,,,12
2014/06/25,,,12
2014/06/26,,,12
2014/06/27,,,12
2014/06/28,,,12
2014/06/29,,,12
2014/06/30,,,11
2014/07/01,,,11
2014/07/02,,,11
2014/07/03,,,10
2014/07/04,,,10
2014/07/05,,,9
2014/07/06,,,10
2014/07/07,,,10
2014/07/08,,,10
2014/07/09,,,11
2014/07/10,,,10
2014/07/11,,,9
2014/07/12,,,8
2014/07/13,,,6
2014/07/14,,,6
2014/07/15,,,6
2014/07/16,,,6
2014/07/17,,,6
2014/07/18,,,6
2014/07/19,,,7
2014/07/20,,,7
2014/07/21,,,6
2014/07/22,,,5
2014/07/23,,,5
2014/07/24,,,5
2014/07/25,,,4
2014/07/26,,,4
2014/07/27,,,4
2014/07/28,,,4
2014/07/29,,,4
2014/07/30,,,4
2014/07/31,,,4
2014/08/01,,,4
2014/08/02,,,4
2014/08/03,,,5
2014/08/04,,,5
2014/08/05,,1,5
2014/08/06,,1,5
2014/08/07,,1,5
2014/08/08,,1,6
2014/08/09,,1,6
2014/08/10,,1,6
2014/08/11,,1,5
2014/08/12,,1,5
2014/08/13,,1,5
2014/08/14,,1,5
2014/08/15,,1,6
2014/08/16,,1,6
2014/08/17,,1,6
2014/08/18,,1,6
2014/08/19,,1,6
2014/08/20,,1,6
2014/08/21,,1,7
2014/08/22,,1,7
2014/08/23,,1,7
2014/08/24,,1,7
2014/08/25,,1,7
2014/08/26,,1,7
2014/08/27,,1,7
2014/08/28,,1,7
2014/08/29,,1,8
2014/08/30,,1,8
2014/08/31,,1,8
2014/09/01,,2,10
2014/09/02,,2,9
2014/09/03,,2,9
2014/09/04,,1,8
2014/09/05,,1,8
2014/09/06,,1,8
2014/09/07,,1,7
2014/09/08,,1,7
2014/09/09,,1,7
2014/09/10,,1,7
2014/09/11,,1,7
2014/09/12,,1,7
2014/09/13,,1,7
2014/09/14,,1,7
2014/09/15,,1,7
2014/09/16,,1,7
2014/09/17,,1,6
2014/09/18,,1,7
2014/09/19,,1,9
2014/09/20,,1,8
2014/09/21,,2,8
2014/09/22,,2,8
2014/09/23,,2,8
2014/09/24,,2,8
2014/09/25,,2,8
2014/09/26,,2,8
2014/09/27,,2,8
2014/09/28,,2,7
2014/09/29,,2,8
2014/09/30,,2,8
2014/10/01,,1,6
2014/10/02,,1,6
2014/10/03,,1,6
2014/10/04,,1,6
2014/10/05,,1,5
2014/10/06,,2,6
2014/10/07,,2,6
2014/10/08,,2,6
2014/10/09,,2,6
2014/10/10,,2,6
2014/10/11,,2,6
2014/10/12,,2,6
2014/10/13,,2,6
2014/10/14,,2,7
2014/10/15,,2,7
2014/10/16,,2,8
2014/10/17,,2,8
2014/10/18,,2,8
2014/10/19,,3,6
2014/10/20,,3,6
2014/10/21,,3,6
2014/10/22,,3,7
2014/10/23,,3,8
2014/10/24,,2,8
2014/10/25,,2,8
2014/10/26,,2,7
2014/10/27,,2,7
2014/10/28,,2,8
2014/10/29,,2,8
2014/10/30,,2,8
2014/10/31,,2,8
2014/11/01,,2,8
2014/11/02,,2,8
2014/11/03,,2,7
2014/11/04,,2,7
2014/11/05,,1,7
2014/11/06,,1,7
2014/11/07,,1,8
2014/11/08,,1,10
2014/11/09,,1,11
2014/11/10,,1,11
2014/11/11,,1,11
2014/11/12,,1,11
2014/11/13,,1,11
2014/11/14,,1,11
2014/11/15,,1,11
2014/11/16,,1,11
2014/11/17,,1,11
2014/11/18,,,11
2014/11/19,,,11
2014/11/20,,,10
2014/11/21,,,9
2014/11/22,,2,10
2014/11/23,,2,10
2014/11/24,,2,10
2014/11/25,,2,10
2014/11/26,,2,10
2014/11/27,,3,11
2014/11/28,,3,11
2014/11/29,,3,10
2014/11/30,,3,11
2014/12/01,,3,11
2014/12/02,,3,11
2014/12/03,,3,11
2014/12/04,,3,12
2014/12/05,,3,12
2014/12/06,,3,12
2014/12/07,,3,13
2014/12/08,,3,11
2014/12/09,,3,11
2014/12/10,,3,11
2014/12/11,,3,11
2014/12/12,,3,10
2014/12/13,,4,11
2014/12/14,,4,11
2014/12/15,,4,11
2014/12/16,,4,11
2014/12/17,,4,11
2014/12/18,,4,11
2014/12/19,,4,11
2014/12/20,,4,11
2014/12/21,,4,11
2014/12/22,,3,10
2014/12/23,,3,10
2014/12/24,,3,10
2014/12/25,,3,11
2014/12/26,,3,12
2014/12/27,,2,10
2014/12/28,,2,10
2014/12/29,,2,10
2014/12/30,,2,8
2014/12/31,,2,9
2015/01/01,,2,9
2015/01/02,,2,9
2015/01/03,,2,8
2015/01/04,,2,8
2015/01/05,,2,8
2015/01/06,,2,6
2015/01/07,,2,6
2015/01/08,,2,6
2015/01/09,,2,6
2015/01/10,,2,6
2015/01/11,,2,6
2015/01/12,,1,5
2015/01/13,,1,5
2015/01/14,,1,5
2015/01/15,,1,6
2015/01/16,,1,6
2015/01/17,,1,6
2015/01/18,,1,6
2015/01/19,,1,8
2015/01/20,,1,8
