date,brwiki (100+),brwiki (5+),brwiki (all)
2013/02/21,7,27,127
2013/02/22,6,27,126
2013/02/23,7,29,128
2013/02/24,7,29,128
2013/02/25,7,30,126
2013/02/26,8,31,127
2013/02/27,8,31,123
2013/02/28,8,30,119
2013/03/01,8,30,121
2013/03/02,7,31,124
2013/03/03,8,36,123
2013/03/04,8,35,119
2013/03/05,8,33,113
2013/03/06,8,31,112
2013/03/07,8,30,108
2013/03/08,8,29,108
2013/03/09,8,30,108
2013/03/10,8,30,108
2013/03/11,8,30,107
2013/03/12,8,31,108
2013/03/13,8,31,107
2013/03/14,7,31,109
2013/03/15,7,31,110
2013/03/16,7,32,109
2013/03/17,7,32,117
2013/03/18,7,32,114
2013/03/19,7,33,114
2013/03/20,7,32,114
2013/03/21,7,32,116
2013/03/22,7,30,113
2013/03/23,7,30,113
2013/03/24,7,29,119
2013/03/25,7,26,112
2013/03/26,7,26,111
2013/03/27,7,27,112
2013/03/28,5,26,117
2013/03/29,5,25,115
2013/03/30,5,25,115
2013/03/31,5,26,112
2013/04/01,5,27,114
2013/04/02,4,28,114
2013/04/03,4,29,115
2013/04/04,5,28,120
2013/04/05,5,28,118
2013/04/06,5,27,116
2013/04/07,5,27,116
2013/04/08,5,27,114
2013/04/09,5,29,113
2013/04/10,5,29,113
2013/04/11,5,29,113
2013/04/12,5,28,116
2013/04/13,5,28,112
2013/04/14,5,27,113
2013/04/15,5,26,110
2013/04/16,5,26,106
2013/04/17,5,26,103
2013/04/18,5,25,100
2013/04/19,5,25,101
2013/04/20,5,25,103
2013/04/21,5,25,101
2013/04/22,5,26,101
2013/04/23,5,26,97
2013/04/24,5,26,97
2013/04/25,4,26,93
2013/04/26,4,26,89
2013/04/27,4,25,88
2013/04/28,4,25,91
2013/04/29,4,27,90
2013/04/30,4,27,93
2013/05/01,4,25,93
2013/05/02,4,25,90
2013/05/03,4,25,89
2013/05/04,4,23,84
2013/05/05,4,22,83
2013/05/06,4,21,84
2013/05/07,4,21,83
2013/05/08,4,20,81
2013/05/09,4,20,80
2013/05/10,4,21,78
2013/05/11,4,21,74
2013/05/12,4,23,77
2013/05/13,4,23,79
2013/05/14,4,21,77
2013/05/15,4,21,78
2013/05/16,4,22,78
2013/05/17,4,22,76
2013/05/18,4,21,76
2013/05/19,4,22,76
2013/05/20,4,22,75
2013/05/21,4,22,76
2013/05/22,4,20,76
2013/05/23,4,19,77
2013/05/24,4,17,79
2013/05/25,4,17,79
2013/05/26,4,18,80
2013/05/27,4,16,79
2013/05/28,4,16,78
2013/05/29,4,16,79
2013/05/30,5,18,79
2013/05/31,5,18,80
2013/06/01,5,18,82
2013/06/02,5,18,84
2013/06/03,5,18,86
2013/06/04,5,18,85
2013/06/05,5,19,84
2013/06/06,6,18,84
2013/06/07,7,18,87
2013/06/08,7,18,87
2013/06/09,7,17,88
2013/06/10,7,18,89
2013/06/11,7,16,86
2013/06/12,8,16,83
2013/06/13,8,16,83
2013/06/14,8,16,83
2013/06/15,8,15,80
2013/06/16,8,15,82
2013/06/17,8,15,84
2013/06/18,8,15,88
2013/06/19,8,14,91
2013/06/20,8,16,88
2013/06/21,7,17,87
2013/06/22,7,17,85
2013/06/23,7,17,87
2013/06/24,7,17,90
2013/06/25,7,18,89
2013/06/26,7,18,89
2013/06/27,7,18,89
2013/06/28,8,17,91
2013/06/29,7,16,92
2013/06/30,7,16,92
2013/07/01,6,15,92
2013/07/02,6,15,92
2013/07/03,6,15,89
2013/07/04,6,16,91
2013/07/05,6,17,93
2013/07/06,6,17,94
2013/07/07,6,18,91
2013/07/08,6,18,89
2013/07/09,6,17,90
2013/07/10,6,16,89
2013/07/11,6,16,88
2013/07/12,4,16,91
2013/07/13,4,17,91
2013/07/14,4,19,95
2013/07/15,4,19,95
2013/07/16,4,19,94
2013/07/17,4,19,91
2013/07/18,4,21,87
2013/07/19,4,21,85
2013/07/20,4,21,86
2013/07/21,4,22,86
2013/07/22,4,23,86
2013/07/23,4,22,83
2013/07/24,4,21,84
2013/07/25,4,22,85
2013/07/26,5,22,85
2013/07/27,5,21,85
2013/07/28,5,21,81
2013/07/29,5,21,83
2013/07/30,5,20,86
2013/07/31,5,20,86
2013/08/01,5,21,86
2013/08/02,5,21,83
2013/08/03,5,21,81
2013/08/04,5,22,79
2013/08/05,5,22,79
2013/08/06,5,21,78
2013/08/07,5,20,80
2013/08/08,5,19,77
2013/08/09,5,19,75
2013/08/10,5,20,78
2013/08/11,5,21,78
2013/08/12,5,21,80
2013/08/13,5,20,77
2013/08/14,5,21,77
2013/08/15,5,22,81
2013/08/16,5,23,81
2013/08/17,5,23,81
2013/08/18,5,22,83
2013/08/19,4,23,84
2013/08/20,4,22,80
2013/08/21,4,22,81
2013/08/22,4,22,83
2013/08/23,4,20,79
2013/08/24,4,21,77
2013/08/25,4,21,77
2013/08/26,4,21,76
2013/08/27,4,20,81
2013/08/28,4,20,77
2013/08/29,4,18,74
2013/08/30,4,18,75
2013/08/31,4,17,75
2013/09/01,4,18,76
2013/09/02,4,18,79
2013/09/03,4,18,77
2013/09/04,4,18,76
2013/09/05,4,18,74
2013/09/06,4,17,73
2013/09/07,4,17,73
2013/09/08,4,17,73
2013/09/09,4,16,74
2013/09/10,4,15,72
2013/09/11,4,16,68
2013/09/12,4,16,67
2013/09/13,4,15,68
2013/09/14,4,14,64
2013/09/15,4,12,65
2013/09/16,4,13,69
2013/09/17,4,14,68
2013/09/18,5,13,65
2013/09/19,5,13,68
2013/09/20,5,13,67
2013/09/21,5,13,68
2013/09/22,5,13,67
2013/09/23,5,12,68
2013/09/24,6,13,66
2013/09/25,6,14,70
2013/09/26,6,14,66
2013/09/27,6,15,68
2013/09/28,6,15,70
2013/09/29,6,15,68
2013/09/30,6,16,71
2013/10/01,6,16,69
2013/10/02,6,15,68
2013/10/03,6,15,72
2013/10/04,6,14,74
2013/10/05,6,15,75
2013/10/06,6,16,76
2013/10/07,6,17,79
2013/10/08,6,17,78
2013/10/09,7,17,73
2013/10/10,7,17,74
2013/10/11,7,16,76
2013/10/12,7,16,77
2013/10/13,7,16,76
2013/10/14,7,16,78
2013/10/15,7,17,80
2013/10/16,7,17,79
2013/10/17,7,17,79
2013/10/18,7,16,80
2013/10/19,7,15,79
2013/10/20,7,18,82
2013/10/21,6,18,83
2013/10/22,6,18,82
2013/10/23,6,19,82
2013/10/24,6,17,82
2013/10/25,6,17,80
2013/10/26,6,17,85
2013/10/27,6,17,86
2013/10/28,6,18,86
2013/10/29,6,18,86
2013/10/30,6,19,85
2013/10/31,6,19,87
2013/11/01,6,21,87
2013/11/02,6,21,83
2013/11/03,6,21,81
2013/11/04,6,21,81
2013/11/05,5,20,84
2013/11/06,5,18,81
2013/11/07,5,19,84
2013/11/08,5,19,85
2013/11/09,5,19,87
2013/11/10,5,20,86
2013/11/11,5,20,84
2013/11/12,5,20,86
2013/11/13,5,20,82
2013/11/14,5,21,81
2013/11/15,5,21,81
2013/11/16,5,22,79
2013/11/17,5,22,77
2013/11/18,5,23,80
2013/11/19,5,22,82
2013/11/20,5,22,78
2013/11/21,5,23,80
2013/11/22,5,23,81
2013/11/23,5,24,81
2013/11/24,5,24,81
2013/11/25,6,24,79
2013/11/26,6,25,78
2013/11/27,6,24,78
2013/11/28,6,25,79
2013/11/29,6,25,80
2013/11/30,6,25,78
2013/12/01,7,24,79
2013/12/02,6,23,79
2013/12/03,5,22,80
2013/12/04,5,22,80
2013/12/05,6,22,84
2013/12/06,6,23,85
2013/12/07,6,23,78
2013/12/08,6,23,80
2013/12/09,7,24,79
2013/12/10,7,24,80
2013/12/11,7,24,83
2013/12/12,7,22,80
2013/12/13,7,23,80
2013/12/14,7,20,80
2013/12/15,7,20,81
2013/12/16,6,19,83
2013/12/17,7,19,82
2013/12/18,7,19,79
2013/12/19,6,18,76
2013/12/20,6,19,78
2013/12/21,6,18,76
2013/12/22,7,18,72
2013/12/23,7,17,73
2013/12/24,7,17,73
2013/12/25,6,19,72
2013/12/26,6,18,74
2013/12/27,6,18,76
2013/12/28,6,16,76
2013/12/29,6,16,76
2013/12/30,6,16,75
2013/12/31,6,20,77
2014/01/01,6,18,77
2014/01/02,6,17,78
2014/01/03,6,17,80
2014/01/04,6,16,78
2014/01/05,6,17,79
2014/01/06,6,17,79
2014/01/07,6,18,79
2014/01/08,6,18,79
2014/01/09,6,19,78
2014/01/10,6,19,77
2014/01/11,6,20,80
2014/01/12,7,20,81
2014/01/13,7,20,81
2014/01/14,7,20,80
2014/01/15,7,20,80
2014/01/16,7,20,79
2014/01/17,7,19,79
2014/01/18,7,20,82
2014/01/19,8,20,81
2014/01/20,8,21,80
2014/01/21,8,23,84
2014/01/22,8,24,87
2014/01/23,8,25,89
2014/01/24,8,25,91
2014/01/25,8,25,91
2014/01/26,8,25,90
2014/01/27,8,26,90
2014/01/28,8,26,93
2014/01/29,8,26,93
2014/01/30,8,26,95
2014/01/31,8,27,95
2014/02/01,8,27,95
2014/02/02,9,28,95
2014/02/03,9,27,96
2014/02/04,9,27,96
2014/02/05,9,27,99
2014/02/06,10,27,101
2014/02/07,10,26,102
2014/02/08,10,25,101
2014/02/09,10,24,99
2014/02/10,10,23,96
2014/02/11,10,23,94
2014/02/12,10,23,93
2014/02/13,10,23,89
2014/02/14,10,24,89
2014/02/15,9,23,92
2014/02/16,9,22,94
2014/02/17,9,22,92
2014/02/18,8,22,91
2014/02/19,8,21,91
2014/02/20,9,21,90
2014/02/21,9,21,88
2014/02/22,9,21,86
2014/02/23,9,21,81
2014/02/24,9,20,82
2014/02/25,9,21,85
2014/02/26,9,20,86
2014/02/27,9,20,84
2014/02/28,8,21,83
2014/03/01,8,21,83
2014/03/02,8,21,83
2014/03/03,8,21,86
2014/03/04,8,21,84
2014/03/05,8,21,81
2014/03/06,8,20,81
2014/03/07,9,21,79
2014/03/08,9,21,78
2014/03/09,8,21,79
2014/03/10,8,22,79
2014/03/11,8,22,82
2014/03/12,8,22,83
2014/03/13,8,21,82
2014/03/14,8,21,82
2014/03/15,9,22,87
2014/03/16,9,23,92
2014/03/17,9,23,91
2014/03/18,9,23,94
2014/03/19,9,22,93
2014/03/20,9,22,93
2014/03/21,9,22,92
2014/03/22,9,22,88
2014/03/23,9,23,89
2014/03/24,9,23,90
2014/03/25,9,23,95
2014/03/26,9,23,96
2014/03/27,9,22,91
2014/03/28,8,21,90
2014/03/29,8,23,93
2014/03/30,8,23,90
2014/03/31,8,23,90
2014/04/01,8,23,90
2014/04/02,8,24,89
2014/04/03,9,24,91
2014/04/04,10,23,91
2014/04/05,10,25,95
2014/04/06,10,25,97
2014/04/07,12,25,96
2014/04/08,12,28,95
2014/04/09,12,28,97
2014/04/10,11,27,94
2014/04/11,11,27,94
2014/04/12,11,27,100
2014/04/13,11,26,98
2014/04/14,11,27,94
2014/04/15,11,25,90
2014/04/16,10,26,89
2014/04/17,10,26,88
2014/04/18,10,26,89
2014/04/19,10,28,92
2014/04/20,9,27,89
2014/04/21,10,27,92
2014/04/22,10,27,90
2014/04/23,9,28,94
2014/04/24,9,27,91
2014/04/25,9,26,90
2014/04/26,9,26,90
2014/04/27,9,27,93
2014/04/28,9,27,94
2014/04/29,9,28,95
2014/04/30,9,28,97
2014/05/01,9,30,99
2014/05/02,9,31,107
2014/05/03,8,30,108
2014/05/04,8,29,112
2014/05/05,8,29,109
2014/05/06,7,28,108
2014/05/07,9,28,106
2014/05/08,9,27,105
2014/05/09,9,25,106
2014/05/10,8,25,107
2014/05/11,8,23,108
2014/05/12,8,23,102
2014/05/13,8,23,106
2014/05/14,9,21,105
2014/05/15,9,21,104
2014/05/16,9,22,106
2014/05/17,9,22,102
2014/05/18,9,22,104
2014/05/19,9,22,102
2014/05/20,9,22,102
2014/05/21,9,24,103
2014/05/22,9,26,103
2014/05/23,9,25,102
2014/05/24,9,25,103
2014/05/25,9,25,105
2014/05/26,9,26,106
2014/05/27,9,26,99
2014/05/28,9,25,98
2014/05/29,9,25,95
2014/05/30,9,25,93
2014/05/31,9,23,94
2014/06/01,9,22,88
2014/06/02,9,22,86
2014/06/03,9,22,80
2014/06/04,8,22,80
2014/06/05,8,22,79
2014/06/06,8,23,80
2014/06/07,7,23,80
2014/06/08,7,22,78
2014/06/09,7,21,78
2014/06/10,7,22,79
2014/06/11,8,22,80
2014/06/12,8,23,74
2014/06/13,8,25,75
2014/06/14,8,24,76
2014/06/15,8,24,78
2014/06/16,8,25,79
2014/06/17,8,25,80
2014/06/18,8,24,79
2014/06/19,8,25,78
2014/06/20,8,25,78
2014/06/21,8,24,77
2014/06/22,8,24,77
2014/06/23,7,23,76
2014/06/24,7,23,75
2014/06/25,7,24,74
2014/06/26,7,25,74
2014/06/27,7,26,75
2014/06/28,7,25,75
2014/06/29,7,25,77
2014/06/30,7,25,77
2014/07/01,7,26,78
2014/07/02,6,27,80
2014/07/03,6,27,82
2014/07/04,6,27,80
2014/07/05,6,27,83
2014/07/06,6,25,80
2014/07/07,6,26,82
2014/07/08,6,26,83
2014/07/09,6,26,83
2014/07/10,6,26,81
2014/07/11,6,27,77
2014/07/12,6,27,79
2014/07/13,6,25,81
2014/07/14,6,26,82
2014/07/15,6,27,81
2014/07/16,6,27,79
2014/07/17,6,25,78
2014/07/18,6,24,80
2014/07/19,6,23,80
2014/07/20,6,23,79
2014/07/21,6,23,78
2014/07/22,6,24,82
2014/07/23,6,23,82
2014/07/24,6,23,79
2014/07/25,6,23,78
2014/07/26,6,22,79
2014/07/27,6,22,80
2014/07/28,6,21,81
2014/07/29,5,20,80
2014/07/30,5,20,84
2014/07/31,5,19,84
2014/08/01,5,20,83
2014/08/02,6,20,83
2014/08/03,6,20,82
2014/08/04,6,20,79
2014/08/05,6,21,80
2014/08/06,6,20,81
2014/08/07,7,20,82
2014/08/08,7,19,82
2014/08/09,7,19,81
2014/08/10,7,19,84
2014/08/11,7,19,80
2014/08/12,7,20,79
2014/08/13,7,19,82
2014/08/14,7,18,82
2014/08/15,7,18,84
2014/08/16,7,19,82
2014/08/17,7,19,80
2014/08/18,7,19,82
2014/08/19,7,19,82
2014/08/20,7,19,79
2014/08/21,7,18,79
2014/08/22,7,18,81
2014/08/23,7,18,84
2014/08/24,7,18,84
2014/08/25,7,19,85
2014/08/26,7,18,86
2014/08/27,6,19,86
2014/08/28,6,19,84
2014/08/29,6,20,81
2014/08/30,6,21,82
2014/08/31,6,21,82
2014/09/01,6,23,82
2014/09/02,6,23,83
2014/09/03,7,23,90
2014/09/04,7,23,88
2014/09/05,7,22,86
2014/09/06,7,24,87
2014/09/07,7,24,86
2014/09/08,7,25,87
2014/09/09,7,25,86
2014/09/10,7,24,87
2014/09/11,6,25,86
2014/09/12,6,26,83
2014/09/13,6,26,81
2014/09/14,5,26,86
2014/09/15,5,25,88
2014/09/16,5,25,88
2014/09/17,5,25,85
2014/09/18,5,25,84
2014/09/19,5,25,83
2014/09/20,5,24,81
2014/09/21,5,24,78
2014/09/22,5,24,76
2014/09/23,4,23,75
2014/09/24,4,23,75
2014/09/25,4,23,78
2014/09/26,5,22,82
2014/09/27,5,22,84
2014/09/28,5,22,85
2014/09/29,5,20,83
2014/09/30,5,20,83
2014/10/01,7,19,85
2014/10/02,6,18,88
2014/10/03,6,18,84
2014/10/04,6,19,86
2014/10/05,6,19,87
2014/10/06,6,16,86
2014/10/07,5,15,83
2014/10/08,5,15,80
2014/10/09,5,15,80
2014/10/10,5,16,80
2014/10/11,5,16,79
2014/10/12,5,14,80
2014/10/13,5,15,83
2014/10/14,5,15,79
2014/10/15,5,14,77
2014/10/16,5,15,76
2014/10/17,6,14,80
2014/10/18,7,14,81
2014/10/19,8,14,81
2014/10/20,8,14,81
2014/10/21,8,15,84
2014/10/22,9,15,85
2014/10/23,9,15,85
2014/10/24,9,15,87
2014/10/25,9,16,84
2014/10/26,9,15,82
2014/10/27,9,16,79
2014/10/28,9,16,78
2014/10/29,9,16,77
2014/10/30,9,16,76
2014/10/31,9,15,73
2014/11/01,9,15,69
2014/11/02,9,17,68
2014/11/03,9,16,68
2014/11/04,9,16,66
2014/11/05,9,16,68
2014/11/06,9,16,68
2014/11/07,9,16,68
2014/11/08,9,16,67
2014/11/09,9,16,69
2014/11/10,9,16,69
2014/11/11,9,16,70
2014/11/12,9,17,68
2014/11/13,9,17,70
2014/11/14,9,17,73
2014/11/15,9,16,72
2014/11/16,8,17,72
2014/11/17,8,18,72
2014/11/18,8,18,72
2014/11/19,7,18,72
2014/11/20,7,18,69
2014/11/21,7,18,68
2014/11/22,7,18,71
2014/11/23,7,19,70
2014/11/24,7,18,68
2014/11/25,8,18,68
2014/11/26,8,18,69
2014/11/27,8,18,68
2014/11/28,8,19,71
2014/11/29,8,19,72
2014/11/30,9,20,70
2014/12/01,9,21,72
2014/12/02,9,21,76
2014/12/03,9,23,74
2014/12/04,9,22,75
2014/12/05,9,22,74
2014/12/06,8,23,75
2014/12/07,8,23,78
2014/12/08,8,23,80
2014/12/09,8,24,80
2014/12/10,8,23,80
2014/12/11,8,23,77
2014/12/12,8,22,75
2014/12/13,8,22,77
2014/12/14,10,22,79
2014/12/15,10,22,77
2014/12/16,9,22,77
2014/12/17,9,22,77
2014/12/18,9,22,78
2014/12/19,9,22,78
2014/12/20,9,22,79
2014/12/21,9,22,82
2014/12/22,9,21,82
2014/12/23,9,21,84
2014/12/24,9,21,86
2014/12/25,8,21,85
2014/12/26,8,21,85
2014/12/27,9,21,89
2014/12/28,9,23,86
2014/12/29,10,24,86
2014/12/30,10,24,84
2014/12/31,10,23,83
2015/01/01,10,23,82
2015/01/02,10,22,83
2015/01/03,11,21,84
2015/01/04,11,20,85
2015/01/05,11,20,87
2015/01/06,11,21,90
2015/01/07,11,20,88
2015/01/08,11,20,86
2015/01/09,10,20,88
2015/01/10,10,20,91
2015/01/11,10,21,89
2015/01/12,11,23,90
2015/01/13,10,23,88
2015/01/14,10,22,91
2015/01/15,10,22,89
2015/01/16,10,21,88
2015/01/17,10,21,88
2015/01/18,10,21,89
2015/01/19,10,21,89
2015/01/20,10,21,91
2015/01/21,10,21,89
2015/01/22,10,21,90
2015/01/23,10,21,90
2015/01/24,10,21,93
2015/01/25,10,21,93
2015/01/26,10,22,89
2015/01/27,10,21,94
2015/01/28,10,19,94
2015/01/29,10,18,96
2015/01/30,10,18,96
2015/01/31,10,18,96
2015/02/01,10,18,97
2015/02/02,10,18,99
2015/02/03,11,18,97
2015/02/04,11,17,96
2015/02/05,11,17,96
2015/02/06,11,17,99
2015/02/07,11,18,101
2015/02/08,11,18,98
2015/02/09,11,17,98
2015/02/10,11,18,101
2015/02/11,11,18,105
2015/02/12,11,19,106
2015/02/13,11,20,109
2015/02/14,11,20,107
2015/02/15,11,20,109
2015/02/16,10,21,107
2015/02/17,10,21,106
2015/02/18,10,22,105
2015/02/19,10,22,103
2015/02/20,10,23,106
2015/02/21,10,25,114
2015/02/22,10,25,115
2015/02/23,10,25,115
2015/02/24,10,25,116
2015/02/25,10,25,119
2015/02/26,10,25,116
2015/02/27,10,25,114
2015/02/28,10,25,113
2015/03/01,10,26,113
2015/03/02,10,26,110
2015/03/03,10,27,107
2015/03/04,10,27,105
2015/03/05,10,28,104
2015/03/06,10,27,103
2015/03/07,10,27,103
2015/03/08,10,27,103
2015/03/09,10,27,101
2015/03/10,10,27,101
2015/03/11,10,27,99
2015/03/12,10,27,98
2015/03/13,10,25,98
2015/03/14,10,25,98
2015/03/15,10,24,99
2015/03/16,9,24,101
2015/03/17,9,23,101
2015/03/18,9,24,99
2015/03/19,9,24,103
2015/03/20,9,24,108
2015/03/21,9,25,108
2015/03/22,9,25,105
2015/03/23,9,24,100
2015/03/24,9,25,101
2015/03/25,9,23,98
2015/03/26,9,22,96
2015/03/27,9,22,93
2015/03/28,9,23,92
2015/03/29,9,24,94
2015/03/30,9,25,94
2015/03/31,9,24,93
2015/04/01,9,25,94
2015/04/02,9,24,96
2015/04/03,9,23,95
2015/04/04,9,22,97
2015/04/05,9,20,99
2015/04/06,9,20,98
2015/04/07,9,22,100
2015/04/08,9,22,103
2015/04/09,9,22,103
2015/04/10,9,23,102
2015/04/11,9,23,102
2015/04/12,9,24,99
2015/04/13,8,25,99
2015/04/14,9,27,100
2015/04/15,9,26,98
2015/04/16,9,26,99
2015/04/17,10,27,104
2015/04/18,10,27,101
2015/04/19,10,27,96
2015/04/20,10,27,98
2015/04/21,10,27,97
2015/04/22,10,27,97
2015/04/23,10,26,95
2015/04/24,10,26,96
2015/04/25,10,25,97
2015/04/26,10,25,97
2015/04/27,10,25,97
2015/04/28,9,24,95
2015/04/29,9,27,98
2015/04/30,9,26,98
2015/05/01,9,24,98
2015/05/02,9,24,101
2015/05/03,9,27,102
2015/05/04,9,27,99
2015/05/05,9,28,101
2015/05/06,9,28,102
2015/05/07,9,27,98
2015/05/08,9,29,97
2015/05/09,9,28,94
2015/05/10,9,28,94
2015/05/11,9,29,95
2015/05/12,9,29,98
2015/05/13,9,29,98
2015/05/14,8,29,98
2015/05/15,8,28,95
2015/05/16,8,28,92
2015/05/17,7,28,90
2015/05/18,7,27,87
2015/05/19,7,27,87
2015/05/20,7,26,84
2015/05/21,8,25,84
2015/05/22,8,27,85
2015/05/23,8,28,87
2015/05/24,8,27,86
2015/05/25,8,27,84
2015/05/26,8,27,86
2015/05/27,8,28,88
2015/05/28,8,29,90
2015/05/29,8,27,88
2015/05/30,8,27,85
2015/05/31,8,27,83
2015/06/01,8,27,81
2015/06/02,8,24,81
2015/06/03,8,25,81
2015/06/04,7,24,82
2015/06/05,7,24,82
2015/06/06,7,24,81
2015/06/07,7,23,81
2015/06/08,7,23,81
2015/06/09,7,21,82
2015/06/10,7,20,80
2015/06/11,7,20,77
2015/06/12,7,21,77
2015/06/13,7,21,75
2015/06/14,7,21,78
2015/06/15,8,21,78
2015/06/16,8,21,77
2015/06/17,8,21,78
2015/06/18,8,21,80
2015/06/19,8,21,80
2015/06/20,8,21,81
2015/06/21,8,20,82
2015/06/22,8,20,78
2015/06/23,8,20,79
2015/06/24,8,20,85
2015/06/25,8,20,84
2015/06/26,8,19,89
2015/06/27,8,18,85
2015/06/28,8,19,84
2015/06/29,8,19,86
2015/06/30,8,20,87
2015/07/01,8,21,88
2015/07/02,8,21,87
2015/07/03,8,19,86
2015/07/04,8,19,84
2015/07/05,8,19,84
2015/07/06,8,21,86
2015/07/07,8,20,85
2015/07/08,8,20,84
2015/07/09,8,20,83
2015/07/10,7,20,84
2015/07/11,7,20,84
2015/07/12,8,20,87
2015/07/13,7,20,87
2015/07/14,6,20,85
2015/07/15,6,20,86
2015/07/16,6,20,87
2015/07/17,6,20,86
2015/07/18,6,20,84
2015/07/19,6,18,86
2015/07/20,6,19,85
2015/07/21,6,19,82
2015/07/22,6,19,82
2015/07/23,6,19,80
2015/07/24,6,17,76
2015/07/25,6,17,74
2015/07/26,6,17,67
