date,brwiki (100+),brwiki (5+),brwiki (all)
2012/08/19,6,17,109
2012/08/20,6,17,109
2012/08/21,6,18,109
2012/08/22,6,19,106
2012/08/23,6,19,105
2012/08/24,6,20,106
2012/08/25,6,19,106
2012/08/26,6,19,106
2012/08/27,6,19,106
2012/08/28,6,19,103
2012/08/29,7,19,105
2012/08/30,7,20,108
2012/08/31,7,20,108
2012/09/01,7,20,107
2012/09/02,7,20,108
2012/09/03,7,20,110
2012/09/04,6,20,112
2012/09/05,6,19,110
2012/09/06,6,20,115
2012/09/07,6,20,111
2012/09/08,6,20,110
2012/09/09,6,19,108
2012/09/10,5,18,106
2012/09/11,5,18,104
2012/09/12,5,18,101
2012/09/13,5,18,101
2012/09/14,6,16,101
2012/09/15,6,16,104
2012/09/16,6,15,104
2012/09/17,6,15,106
2012/09/18,6,15,103
2012/09/19,6,15,100
2012/09/20,6,15,100
2012/09/21,6,15,101
2012/09/22,6,16,100
2012/09/23,6,18,101
2012/09/24,7,16,98
2012/09/25,7,17,96
2012/09/26,7,17,95
2012/09/27,7,17,95
2012/09/28,7,17,95
2012/09/29,7,17,92
2012/09/30,7,17,90
2012/10/01,7,17,89
2012/10/02,6,16,88
2012/10/03,6,17,86
2012/10/04,6,16,87
2012/10/05,6,17,87
2012/10/06,6,18,85
2012/10/07,6,20,85
2012/10/08,6,20,85
2012/10/09,6,20,85
2012/10/10,5,22,87
2012/10/11,5,21,86
2012/10/12,5,22,88
2012/10/13,5,22,86
2012/10/14,5,23,89
2012/10/15,5,23,87
2012/10/16,6,24,89
2012/10/17,6,24,91
2012/10/18,6,25,94
2012/10/19,6,27,96
2012/10/20,6,27,101
2012/10/21,6,28,102
2012/10/22,6,28,104
2012/10/23,6,29,102
2012/10/24,6,29,104
2012/10/25,6,29,104
2012/10/26,6,28,106
2012/10/27,6,28,108
2012/10/28,7,27,108
2012/10/29,7,28,106
2012/10/30,7,29,106
2012/10/31,7,29,107
2012/11/01,6,29,109
2012/11/02,6,28,111
2012/11/03,8,28,109
2012/11/04,9,27,115
2012/11/05,9,27,114
2012/11/06,9,26,114
2012/11/07,9,26,116
2012/11/08,9,26,117
2012/11/09,8,25,118
2012/11/10,8,25,121
2012/11/11,8,26,118
2012/11/12,8,26,119
2012/11/13,8,25,113
2012/11/14,8,26,114
2012/11/15,8,26,113
2012/11/16,8,26,111
2012/11/17,8,26,111
2012/11/18,8,26,107
2012/11/19,8,25,103
2012/11/20,8,25,98
2012/11/21,8,24,98
2012/11/22,8,23,100
2012/11/23,8,23,102
2012/11/24,7,23,102
2012/11/25,8,23,101
2012/11/26,8,23,101
2012/11/27,8,23,100
2012/11/28,8,24,102
2012/11/29,6,25,103
2012/11/30,6,26,104
2012/12/01,6,25,107
2012/12/02,6,24,108
2012/12/03,6,21,104
2012/12/04,6,23,105
2012/12/05,5,26,104
2012/12/06,5,26,102
2012/12/07,5,26,101
2012/12/08,5,26,99
2012/12/09,5,26,101
2012/12/10,5,26,99
2012/12/11,5,26,102
2012/12/12,5,26,103
2012/12/13,5,26,106
2012/12/14,5,23,108
2012/12/15,6,23,111
2012/12/16,6,23,112
2012/12/17,6,23,108
2012/12/18,6,22,108
2012/12/19,6,22,110
2012/12/20,6,22,109
2012/12/21,6,23,108
2012/12/22,6,23,112
2012/12/23,6,23,108
2012/12/24,6,23,111
2012/12/25,6,23,110
2012/12/26,6,24,111
2012/12/27,6,24,113
2012/12/28,6,24,107
2012/12/29,6,24,105
2012/12/30,6,24,107
2012/12/31,6,26,105
2013/01/01,6,26,105
2013/01/02,6,25,104
2013/01/03,6,24,100
2013/01/04,6,23,99
2013/01/05,6,23,101
2013/01/06,6,23,100
2013/01/07,6,23,101
2013/01/08,6,22,100
2013/01/09,5,21,99
2013/01/10,5,21,98
2013/01/11,5,21,98
2013/01/12,5,21,98
2013/01/13,6,22,99
2013/01/14,6,22,98
2013/01/15,6,21,101
2013/01/16,6,22,102
2013/01/17,6,22,105
2013/01/18,6,22,104
2013/01/19,6,22,110
2013/01/20,6,22,113
2013/01/21,7,23,115
2013/01/22,7,23,114
2013/01/23,7,23,115
2013/01/24,7,24,115
2013/01/25,7,24,117
2013/01/26,7,24,115
2013/01/27,7,23,116
2013/01/28,7,23,118
2013/01/29,7,23,122
2013/01/30,7,21,121
2013/01/31,7,20,122
2013/02/01,7,20,123
2013/02/02,7,20,124
2013/02/03,7,20,125
2013/02/04,7,21,126
2013/02/05,7,21,131
2013/02/06,7,22,129
2013/02/07,7,21,129
2013/02/08,7,22,128
2013/02/09,7,23,131
2013/02/10,7,24,132
2013/02/11,7,25,133
2013/02/12,7,25,135
2013/02/13,7,26,131
2013/02/14,7,26,128
2013/02/15,7,26,126
2013/02/16,7,27,131
2013/02/17,7,27,133
2013/02/18,7,27,131
2013/02/19,8,26,127
2013/02/20,7,27,127
