date,ltgwiki (100+),ltgwiki (5+),ltgwiki (all)
2012/08/19,,7,25
2012/08/20,,7,24
2012/08/21,,7,24
2012/08/22,,7,23
2012/08/23,,7,23
2012/08/24,,8,23
2012/08/25,,7,23
2012/08/26,,7,21
2012/08/27,,7,20
2012/08/28,,7,21
2012/08/29,,7,23
2012/08/30,,7,23
2012/08/31,,7,23
2012/09/01,,7,23
2012/09/02,,7,22
2012/09/03,,7,22
2012/09/04,,7,21
2012/09/05,,7,19
2012/09/06,,7,21
2012/09/07,,7,20
2012/09/08,,7,20
2012/09/09,,8,21
2012/09/10,,8,21
2012/09/11,,8,21
2012/09/12,,7,22
2012/09/13,,7,22
2012/09/14,,7,21
2012/09/15,,7,22
2012/09/16,,7,23
2012/09/17,,9,23
2012/09/18,,9,22
2012/09/19,,9,21
2012/09/20,,9,21
2012/09/21,,9,20
2012/09/22,,10,20
2012/09/23,,10,20
2012/09/24,,10,20
2012/09/25,,10,20
2012/09/26,,10,21
2012/09/27,,10,22
2012/09/28,,10,21
2012/09/29,,10,21
2012/09/30,,10,21
2012/10/01,,10,19
2012/10/02,,10,20
2012/10/03,,10,20
2012/10/04,,10,19
2012/10/05,,10,19
2012/10/06,,9,19
2012/10/07,,9,19
2012/10/08,,9,19
2012/10/09,,9,17
2012/10/10,,10,17
2012/10/11,,10,18
2012/10/12,,10,17
2012/10/13,,10,17
2012/10/14,,10,17
2012/10/15,,10,16
2012/10/16,,10,16
2012/10/17,,9,17
2012/10/18,,9,17
2012/10/19,,8,18
2012/10/20,,9,19
2012/10/21,,9,19
2012/10/22,,8,21
2012/10/23,,8,21
2012/10/24,,9,22
2012/10/25,,9,23
2012/10/26,,8,23
2012/10/27,,8,22
2012/10/28,,8,23
2012/10/29,,8,24
2012/10/30,,9,24
2012/10/31,,9,24
2012/11/01,,9,23
2012/11/02,,9,23
2012/11/03,,9,23
2012/11/04,,9,23
2012/11/05,,9,22
2012/11/06,,9,23
2012/11/07,,9,23
2012/11/08,,9,23
2012/11/09,,9,23
2012/11/10,,9,25
2012/11/11,,10,26
2012/11/12,,13,27
2012/11/13,,14,28
2012/11/14,,14,29
2012/11/15,,14,29
2012/11/16,,14,29
2012/11/17,,14,29
2012/11/18,,15,29
2012/11/19,,14,27
2012/11/20,,14,28
2012/11/21,,14,28
2012/11/22,,14,28
2012/11/23,,14,27
2012/11/24,,14,27
2012/11/25,,14,27
2012/11/26,,14,27
2012/11/27,,13,27
2012/11/28,,13,27
2012/11/29,,13,27
2012/11/30,,13,27
2012/12/01,,14,27
2012/12/02,,14,27
2012/12/03,,13,27
2012/12/04,,13,27
2012/12/05,,13,28
2012/12/06,,13,28
2012/12/07,,13,29
2012/12/08,,13,28
2012/12/09,,13,28
2012/12/10,,13,26
2012/12/11,,14,25
2012/12/12,,13,23
2012/12/13,,14,23
2012/12/14,,14,23
2012/12/15,,14,23
2012/12/16,,13,23
2012/12/17,,13,25
2012/12/18,,13,25
2012/12/19,,13,27
2012/12/20,,13,26
2012/12/21,,13,27
2012/12/22,,13,27
2012/12/23,,12,26
2012/12/24,,11,26
2012/12/25,,11,25
2012/12/26,,12,27
2012/12/27,,12,27
2012/12/28,,12,26
2012/12/29,,12,27
2012/12/30,,12,28
2012/12/31,,12,28
2013/01/01,,13,30
2013/01/02,,13,30
2013/01/03,,12,32
2013/01/04,,13,32
2013/01/05,,12,31
2013/01/06,,12,31
2013/01/07,,11,31
2013/01/08,,11,31
2013/01/09,,11,31
2013/01/10,,11,31
2013/01/11,,10,30
2013/01/12,,9,29
2013/01/13,,9,29
2013/01/14,,9,29
2013/01/15,,9,29
2013/01/16,,9,28
2013/01/17,,9,28
2013/01/18,,10,25
2013/01/19,,9,26
2013/01/20,,9,25
2013/01/21,,9,25
2013/01/22,,9,25
2013/01/23,,9,25
2013/01/24,1,10,26
2013/01/25,1,9,25
2013/01/26,1,10,25
2013/01/27,1,10,25
2013/01/28,1,10,24
