date,nvwiki (100+),nvwiki (5+),nvwiki (all)
2012/08/19,4,15,35
2012/08/20,4,13,34
2012/08/21,4,13,34
2012/08/22,4,14,34
2012/08/23,4,13,33
2012/08/24,4,13,33
2012/08/25,4,13,34
2012/08/26,4,13,34
2012/08/27,4,13,36
2012/08/28,4,13,37
2012/08/29,3,13,41
2012/08/30,3,13,41
2012/08/31,3,13,40
2012/09/01,3,14,41
2012/09/02,4,14,41
2012/09/03,4,14,41
2012/09/04,4,15,41
2012/09/05,3,16,41
2012/09/06,3,17,41
2012/09/07,3,19,41
2012/09/08,3,19,40
2012/09/09,3,19,39
2012/09/10,3,19,39
2012/09/11,3,19,38
2012/09/12,3,19,37
2012/09/13,3,20,37
2012/09/14,3,20,37
2012/09/15,4,20,37
2012/09/16,4,19,37
2012/09/17,4,19,38
2012/09/18,4,19,37
2012/09/19,4,19,37
2012/09/20,4,19,37
2012/09/21,4,18,36
2012/09/22,4,18,36
2012/09/23,4,17,35
2012/09/24,4,17,36
2012/09/25,4,16,36
2012/09/26,4,16,35
2012/09/27,3,16,35
2012/09/28,3,15,34
2012/09/29,3,15,35
2012/09/30,3,16,35
2012/10/01,3,16,34
2012/10/02,3,18,35
2012/10/03,3,16,35
2012/10/04,3,16,34
2012/10/05,3,16,35
2012/10/06,2,16,35
2012/10/07,2,16,34
2012/10/08,2,16,34
2012/10/09,2,17,33
2012/10/10,3,17,32
2012/10/11,3,17,32
2012/10/12,3,18,32
2012/10/13,3,18,32
2012/10/14,3,19,33
2012/10/15,3,18,32
2012/10/16,3,19,32
2012/10/17,3,18,32
2012/10/18,3,18,33
2012/10/19,3,18,33
2012/10/20,3,19,34
2012/10/21,3,18,34
2012/10/22,3,18,36
2012/10/23,3,18,36
2012/10/24,3,18,36
2012/10/25,3,19,36
2012/10/26,3,18,37
2012/10/27,3,18,38
2012/10/28,3,18,38
2012/10/29,3,18,37
2012/10/30,3,19,37
2012/10/31,4,19,37
2012/11/01,3,19,36
2012/11/02,3,19,36
2012/11/03,3,19,38
2012/11/04,3,19,38
2012/11/05,3,19,39
2012/11/06,3,19,39
2012/11/07,3,19,39
2012/11/08,3,20,39
2012/11/09,2,21,38
2012/11/10,2,21,38
2012/11/11,2,21,37
2012/11/12,2,21,37
2012/11/13,2,20,36
2012/11/14,2,20,35
2012/11/15,2,20,36
2012/11/16,2,19,37
2012/11/17,2,20,35
2012/11/18,2,20,35
2012/11/19,2,20,34
2012/11/20,2,20,35
2012/11/21,2,20,34
2012/11/22,2,20,34
2012/11/23,2,20,35
2012/11/24,2,21,35
2012/11/25,2,21,34
2012/11/26,2,20,34
2012/11/27,2,20,34
2012/11/28,2,20,33
2012/11/29,2,20,34
2012/11/30,1,19,34
2012/12/01,1,19,35
2012/12/02,1,19,37
2012/12/03,1,19,35
2012/12/04,1,19,35
2012/12/05,1,19,36
2012/12/06,1,18,36
2012/12/07,1,19,36
2012/12/08,1,20,36
2012/12/09,1,19,35
2012/12/10,1,19,37
2012/12/11,1,19,37
2012/12/12,1,18,37
2012/12/13,1,18,38
2012/12/14,1,18,38
2012/12/15,2,18,38
2012/12/16,2,18,37
2012/12/17,1,18,38
2012/12/18,1,18,39
2012/12/19,2,18,39
2012/12/20,2,18,39
2012/12/21,2,18,39
2012/12/22,2,18,40
2012/12/23,2,19,40
2012/12/24,2,19,40
2012/12/25,2,18,39
2012/12/26,2,18,41
2012/12/27,2,18,41
2012/12/28,2,18,43
2012/12/29,2,19,43
2012/12/30,2,19,44
2012/12/31,2,21,45
2013/01/01,2,21,44
2013/01/02,2,23,44
2013/01/03,2,23,43
2013/01/04,2,23,43
2013/01/05,3,23,47
2013/01/06,3,23,47
2013/01/07,3,23,48
2013/01/08,3,22,47
2013/01/09,3,21,45
2013/01/10,3,22,46
2013/01/11,3,22,46
2013/01/12,3,22,45
2013/01/13,3,22,45
2013/01/14,3,23,46
2013/01/15,3,23,46
2013/01/16,3,22,45
2013/01/17,3,22,45
2013/01/18,3,23,45
2013/01/19,3,22,45
2013/01/20,3,22,45
2013/01/21,3,22,44
2013/01/22,3,22,45
2013/01/23,3,22,46
2013/01/24,3,22,45
2013/01/25,3,23,43
2013/01/26,3,24,44
2013/01/27,3,21,45
2013/01/28,3,22,45
2013/01/29,3,23,46
2013/01/30,3,23,44
2013/01/31,3,23,44
2013/02/01,3,22,44
2013/02/02,3,22,44
2013/02/03,3,22,43
2013/02/04,3,22,40
2013/02/05,3,22,40
2013/02/06,3,23,40
2013/02/07,3,23,40
2013/02/08,3,23,40
2013/02/09,3,23,39
2013/02/10,3,23,39
2013/02/11,3,23,40
2013/02/12,3,23,39
2013/02/13,3,23,39
2013/02/14,3,24,39
2013/02/15,3,23,39
2013/02/16,3,23,39
2013/02/17,3,24,41
2013/02/18,3,24,41
2013/02/19,3,23,42
2013/02/20,3,23,42
2013/02/21,3,23,41
2013/02/22,3,23,41
2013/02/23,3,23,41
2013/02/24,3,23,40
2013/02/25,3,22,38
2013/02/26,3,22,38
2013/02/27,3,21,38
2013/02/28,3,21,37
2013/03/01,3,21,36
2013/03/02,4,21,36
2013/03/03,4,21,36
2013/03/04,4,21,36
2013/03/05,4,21,36
2013/03/06,4,21,36
2013/03/07,4,21,36
2013/03/08,5,22,35
2013/03/09,5,22,35
2013/03/10,4,22,34
2013/03/11,4,22,34
2013/03/12,4,22,35
2013/03/13,4,21,34
2013/03/14,4,21,34
2013/03/15,4,19,33
2013/03/16,4,17,32
2013/03/17,4,17,31
2013/03/18,4,17,32
2013/03/19,4,17,31
2013/03/20,4,16,31
2013/03/21,4,16,28
2013/03/22,4,16,27
2013/03/23,4,15,27
2013/03/24,3,15,28
2013/03/25,2,15,30
2013/03/26,2,15,30
2013/03/27,2,13,28
2013/03/28,2,13,27
2013/03/29,2,11,27
2013/03/30,2,10,24
2013/03/31,2,10,24
2013/04/01,2,9,25
2013/04/02,2,8,24
2013/04/03,2,8,24
2013/04/04,2,6,22
2013/04/05,2,5,19
2013/04/06,2,4,19
2013/04/07,1,4,13
2013/04/08,1,4,13
2013/04/09,1,3,14
2013/04/10,1,3,14
2013/04/11,1,3,13
2013/04/12,1,3,13
2013/04/13,,3,13
2013/04/14,,3,12
2013/04/15,,3,13
2013/04/16,,3,13
2013/04/17,,2,12
2013/04/18,,2,12
2013/04/19,,2,11
2013/04/20,,2,11
2013/04/21,,2,12
2013/04/22,,2,12
2013/04/23,,2,11
2013/04/24,,2,9
2013/04/25,,2,9
2013/04/26,,2,9
2013/04/27,,2,8
2013/04/28,,2,8
2013/04/29,,2,8
2013/04/30,,2,8
2013/05/01,,2,8
2013/05/02,,2,8
2013/05/03,,2,8
2013/05/04,,2,9
2013/05/05,,1,9
2013/05/06,,1,9
2013/05/07,,1,9
2013/05/08,,1,7
2013/05/09,,1,7
2013/05/10,,1,7
2013/05/11,,1,7
2013/05/12,,1,7
2013/05/13,,1,7
2013/05/14,,1,7
2013/05/15,,1,6
2013/05/16,,1,6
2013/05/17,,1,6
2013/05/18,,1,6
2013/05/19,,1,6
2013/05/20,,1,6
2013/05/21,,1,5
2013/05/22,,2,6
2013/05/23,,2,5
2013/05/24,,2,5
2013/05/25,,2,5
2013/05/26,,2,5
2013/05/27,,2,5
2013/05/28,,2,5
2013/05/29,,2,5
2013/05/30,,2,5
2013/05/31,,2,5
2013/06/01,,2,5
2013/06/02,,2,6
2013/06/03,,2,5
2013/06/04,,2,5
2013/06/05,,2,5
2013/06/06,,2,5
2013/06/07,,1,5
2013/06/08,,1,4
2013/06/09,,1,5
2013/06/10,,1,5
2013/06/11,,1,5
2013/06/12,,1,5
2013/06/13,,1,5
2013/06/14,,1,5
2013/06/15,,1,5
2013/06/16,,1,5
2013/06/17,,2,5
2013/06/18,,2,5
2013/06/19,,2,5
2013/06/20,,2,5
2013/06/21,,2,5
2013/06/22,,2,5
2013/06/23,,2,5
2013/06/24,,2,5
2013/06/25,,2,5
2013/06/26,,2,5
2013/06/27,,2,5
2013/06/28,,2,5
2013/06/29,,2,5
2013/06/30,,2,5
2013/07/01,,2,5
2013/07/02,,2,4
2013/07/03,,2,4
2013/07/04,,2,4
2013/07/05,,2,4
2013/07/06,,2,5
2013/07/07,,2,5
2013/07/08,,2,5
2013/07/09,,2,4
2013/07/10,,2,4
2013/07/11,,2,4
2013/07/12,,2,4
2013/07/13,,2,4
2013/07/14,,2,4
2013/07/15,,2,4
2013/07/16,,2,5
2013/07/17,,1,5
2013/07/18,,1,5
2013/07/19,,1,6
2013/07/20,,1,6
2013/07/21,,1,5
2013/07/22,,1,5
2013/07/23,,1,5
2013/07/24,,1,5
