date,nrmwiki (100+),nrmwiki (5+),nrmwiki (all)
2012/08/19,3,12,36
2012/08/20,3,12,36
2012/08/21,3,13,36
2012/08/22,3,12,37
2012/08/23,3,13,37
2012/08/24,4,16,37
2012/08/25,3,13,38
2012/08/26,3,13,37
2012/08/27,3,14,37
2012/08/28,3,14,37
2012/08/29,3,14,34
2012/08/30,3,14,36
2012/08/31,3,14,36
2012/09/01,3,15,38
2012/09/02,3,16,39
2012/09/03,3,16,38
2012/09/04,3,16,37
2012/09/05,3,16,38
2012/09/06,3,16,38
2012/09/07,4,16,38
2012/09/08,4,16,39
2012/09/09,4,18,39
2012/09/10,4,18,39
2012/09/11,4,18,40
2012/09/12,3,17,39
2012/09/13,3,17,40
2012/09/14,3,17,41
2012/09/15,3,17,41
2012/09/16,3,18,42
2012/09/17,3,18,42
2012/09/18,3,18,40
2012/09/19,3,18,41
2012/09/20,3,18,41
2012/09/21,3,16,39
2012/09/22,3,16,39
2012/09/23,3,15,39
2012/09/24,3,14,41
2012/09/25,3,14,41
2012/09/26,3,14,41
2012/09/27,3,14,38
2012/09/28,3,14,38
2012/09/29,3,14,37
2012/09/30,3,14,36
2012/10/01,3,13,34
2012/10/02,3,13,33
2012/10/03,3,13,32
2012/10/04,4,14,32
2012/10/05,4,14,31
2012/10/06,4,15,30
2012/10/07,5,15,30
2012/10/08,5,15,29
2012/10/09,5,15,28
2012/10/10,5,16,28
2012/10/11,6,16,28
2012/10/12,6,15,28
2012/10/13,6,14,26
2012/10/14,6,14,26
2012/10/15,6,14,26
2012/10/16,6,16,25
2012/10/17,6,15,24
2012/10/18,6,16,26
2012/10/19,6,16,28
2012/10/20,6,16,30
2012/10/21,6,16,30
2012/10/22,6,16,31
2012/10/23,6,16,31
2012/10/24,6,16,29
2012/10/25,6,16,29
2012/10/26,6,17,30
2012/10/27,6,17,32
2012/10/28,6,17,33
2012/10/29,6,17,33
2012/10/30,6,17,34
2012/10/31,6,17,34
2012/11/01,7,17,34
2012/11/02,7,18,35
2012/11/03,6,17,38
2012/11/04,6,16,38
2012/11/05,6,16,39
2012/11/06,4,16,39
2012/11/07,4,15,39
2012/11/08,4,15,42
2012/11/09,4,15,43
2012/11/10,4,16,42
2012/11/11,4,16,42
2012/11/12,4,18,43
2012/11/13,4,18,42
2012/11/14,4,18,42
2012/11/15,4,18,44
2012/11/16,4,18,44
2012/11/17,4,18,43
2012/11/18,4,18,42
2012/11/19,4,18,41
2012/11/20,4,18,42
2012/11/21,4,17,42
2012/11/22,4,18,43
2012/11/23,4,20,44
2012/11/24,4,20,44
2012/11/25,3,19,44
2012/11/26,3,20,45
2012/11/27,2,19,45
2012/11/28,2,19,45
2012/11/29,2,19,43
2012/11/30,2,20,43
2012/12/01,2,21,43
2012/12/02,2,21,40
2012/12/03,2,21,36
2012/12/04,2,21,38
2012/12/05,2,21,38
2012/12/06,3,21,38
2012/12/07,3,21,38
2012/12/08,3,20,36
2012/12/09,3,20,37
2012/12/10,3,20,37
2012/12/11,3,20,37
2012/12/12,3,20,36
2012/12/13,3,20,37
2012/12/14,2,19,37
2012/12/15,3,19,35
2012/12/16,3,19,35
2012/12/17,3,20,35
2012/12/18,3,20,35
2012/12/19,3,20,35
2012/12/20,3,19,35
2012/12/21,3,19,34
2012/12/22,3,19,34
2012/12/23,3,17,33
2012/12/24,3,17,33
2012/12/25,3,17,33
2012/12/26,3,17,33
2012/12/27,3,17,33
2012/12/28,3,17,34
2012/12/29,3,18,34
2012/12/30,4,20,35
2012/12/31,5,20,36
2013/01/01,5,20,36
2013/01/02,5,19,36
2013/01/03,5,19,35
2013/01/04,5,19,35
2013/01/05,5,19,34
2013/01/06,5,19,34
2013/01/07,5,18,33
2013/01/08,5,17,34
2013/01/09,5,17,33
2013/01/10,5,18,33
2013/01/11,5,18,33
2013/01/12,5,17,33
2013/01/13,5,17,33
2013/01/14,6,18,34
2013/01/15,6,19,34
2013/01/16,6,19,35
2013/01/17,6,20,37
2013/01/18,6,20,36
2013/01/19,6,20,35
2013/01/20,6,20,35
2013/01/21,6,20,35
2013/01/22,6,20,35
2013/01/23,6,19,35
2013/01/24,6,20,34
2013/01/25,6,20,34
2013/01/26,6,19,33
2013/01/27,6,18,32
2013/01/28,6,19,32
2013/01/29,6,20,32
2013/01/30,5,19,33
2013/01/31,5,20,33
2013/02/01,5,20,33
2013/02/02,5,19,33
