date,roa_tarawiki (100+),roa_tarawiki (5+),roa_tarawiki (all)
2012/08/19,4,17,41
2012/08/20,4,17,42
2012/08/21,4,16,42
2012/08/22,4,15,41
2012/08/23,4,15,42
2012/08/24,4,15,43
2012/08/25,5,15,45
2012/08/26,5,14,45
2012/08/27,5,14,45
2012/08/28,5,15,45
2012/08/29,5,15,47
2012/08/30,5,15,44
2012/08/31,5,15,43
2012/09/01,5,16,45
2012/09/02,5,16,45
2012/09/03,5,16,44
2012/09/04,5,15,44
2012/09/05,5,15,46
2012/09/06,5,15,44
2012/09/07,4,15,42
2012/09/08,4,15,41
2012/09/09,5,15,41
2012/09/10,5,15,40
2012/09/11,5,15,40
2012/09/12,5,14,39
2012/09/13,5,15,38
2012/09/14,5,15,37
2012/09/15,5,16,36
2012/09/16,5,16,36
2012/09/17,6,15,36
2012/09/18,6,15,34
2012/09/19,6,15,32
2012/09/20,6,17,32
2012/09/21,6,16,31
2012/09/22,6,16,31
2012/09/23,7,19,34
2012/09/24,7,21,32
2012/09/25,7,21,32
2012/09/26,7,21,32
2012/09/27,6,21,32
2012/09/28,6,21,32
2012/09/29,6,21,33
2012/09/30,6,21,33
2012/10/01,5,21,30
2012/10/02,5,21,30
2012/10/03,5,21,30
2012/10/04,5,21,31
2012/10/05,5,21,29
2012/10/06,5,22,29
2012/10/07,5,22,29
2012/10/08,5,22,29
2012/10/09,5,22,28
2012/10/10,5,22,27
2012/10/11,5,22,28
2012/10/12,5,22,29
2012/10/13,5,22,29
2012/10/14,5,22,31
2012/10/15,5,21,31
2012/10/16,5,22,32
2012/10/17,5,23,34
2012/10/18,5,23,34
2012/10/19,5,22,34
2012/10/20,5,23,35
2012/10/21,5,23,35
2012/10/22,5,22,36
2012/10/23,4,20,38
2012/10/24,4,16,36
2012/10/25,4,17,36
2012/10/26,4,17,37
2012/10/27,4,17,37
2012/10/28,4,17,36
2012/10/29,4,18,38
2012/10/30,4,18,38
2012/10/31,4,18,39
2012/11/01,4,17,40
2012/11/02,4,18,40
2012/11/03,4,17,41
2012/11/04,5,18,41
2012/11/05,5,18,41
2012/11/06,5,19,41
2012/11/07,4,19,41
2012/11/08,4,20,41
2012/11/09,4,19,40
2012/11/10,5,20,41
2012/11/11,5,20,40
2012/11/12,5,20,40
2012/11/13,5,21,39
2012/11/14,5,21,40
2012/11/15,5,21,39
2012/11/16,5,19,37
2012/11/17,5,20,36
2012/11/18,5,20,36
2012/11/19,5,19,34
2012/11/20,5,20,34
2012/11/21,5,20,34
2012/11/22,5,20,34
2012/11/23,5,20,34
2012/11/24,4,20,34
2012/11/25,4,21,33
2012/11/26,4,21,32
2012/11/27,4,20,32
2012/11/28,4,20,32
2012/11/29,4,21,32
2012/11/30,4,21,31
2012/12/01,3,21,32
2012/12/02,4,21,33
2012/12/03,4,20,31
2012/12/04,4,20,31
2012/12/05,4,20,33
2012/12/06,4,20,34
2012/12/07,4,20,34
2012/12/08,4,20,36
2012/12/09,4,20,35
2012/12/10,3,20,35
2012/12/11,3,20,36
2012/12/12,3,20,36
2012/12/13,3,20,37
2012/12/14,2,20,36
2012/12/15,2,20,38
2012/12/16,2,20,38
2012/12/17,1,19,39
2012/12/18,1,19,39
2012/12/19,1,19,39
2012/12/20,1,19,41
2012/12/21,1,19,40
2012/12/22,2,20,41
2012/12/23,2,22,41
2012/12/24,2,22,41
2012/12/25,2,22,41
2012/12/26,2,22,41
