date,dvwiki (5+),dvwiki (all)
2012/08/19,9,22
2012/08/20,8,22
2012/08/21,8,22
2012/08/22,7,21
2012/08/23,7,21
2012/08/24,8,21
2012/08/25,7,23
2012/08/26,6,21
2012/08/27,6,22
2012/08/28,6,25
2012/08/29,6,25
2012/08/30,5,24
2012/08/31,5,24
2012/09/01,5,24
2012/09/02,4,24
2012/09/03,4,25
2012/09/04,4,26
2012/09/05,4,26
2012/09/06,5,26
2012/09/07,6,26
2012/09/08,6,26
2012/09/09,7,27
2012/09/10,7,28
2012/09/11,5,27
2012/09/12,5,27
2012/09/13,6,27
2012/09/14,6,26
2012/09/15,6,27
2012/09/16,6,27
2012/09/17,6,28
2012/09/18,6,27
2012/09/19,7,27
2012/09/20,7,26
2012/09/21,7,27
2012/09/22,7,29
2012/09/23,7,29
2012/09/24,7,29
2012/09/25,7,29
2012/09/26,7,29
2012/09/27,7,27
2012/09/28,7,25
2012/09/29,7,24
2012/09/30,7,24
2012/10/01,7,23
2012/10/02,7,23
2012/10/03,7,22
2012/10/04,7,23
2012/10/05,7,26
2012/10/06,7,25
2012/10/07,7,25
2012/10/08,7,24
2012/10/09,6,21
2012/10/10,6,20
2012/10/11,6,20
2012/10/12,6,20
2012/10/13,6,20
2012/10/14,6,21
2012/10/15,7,21
2012/10/16,7,21
2012/10/17,7,21
2012/10/18,7,21
2012/10/19,7,20
2012/10/20,7,20
2012/10/21,7,19
2012/10/22,7,19
2012/10/23,7,21
2012/10/24,7,20
2012/10/25,7,20
2012/10/26,7,20
2012/10/27,7,20
2012/10/28,8,21
2012/10/29,8,21
2012/10/30,8,22
2012/10/31,8,22
2012/11/01,8,22
2012/11/02,9,22
2012/11/03,9,21
2012/11/04,9,19
2012/11/05,8,20
2012/11/06,8,21
2012/11/07,9,23
2012/11/08,9,23
2012/11/09,8,23
2012/11/10,8,23
2012/11/11,9,23
2012/11/12,8,23
2012/11/13,8,23
2012/11/14,9,23
2012/11/15,9,24
2012/11/16,9,23
2012/11/17,8,22
2012/11/18,8,21
2012/11/19,7,22
2012/11/20,7,22
2012/11/21,7,22
2012/11/22,7,21
2012/11/23,8,22
2012/11/24,9,21
2012/11/25,9,21
2012/11/26,9,21
2012/11/27,10,21
2012/11/28,10,23
2012/11/29,10,22
2012/11/30,10,23
2012/12/01,10,24
2012/12/02,10,24
2012/12/03,10,25
2012/12/04,10,24
