date,jbowiki (100+),jbowiki (5+),jbowiki (all)
2012/08/19,2,13,32
2012/08/20,2,14,31
2012/08/21,2,13,31
2012/08/22,1,12,30
2012/08/23,1,12,30
2012/08/24,2,14,30
2012/08/25,2,14,30
2012/08/26,2,14,28
2012/08/27,2,14,30
2012/08/28,2,13,31
2012/08/29,2,12,31
2012/08/30,2,12,33
2012/08/31,1,12,33
2012/09/01,1,12,35
2012/09/02,1,12,35
2012/09/03,1,11,35
2012/09/04,1,11,35
2012/09/05,1,11,35
2012/09/06,1,12,35
2012/09/07,1,13,34
2012/09/08,1,13,33
2012/09/09,1,14,33
2012/09/10,1,14,34
2012/09/11,1,14,34
2012/09/12,1,14,33
2012/09/13,1,13,34
2012/09/14,1,13,34
2012/09/15,1,14,34
2012/09/16,1,14,34
2012/09/17,1,14,33
2012/09/18,1,14,33
2012/09/19,1,13,33
2012/09/20,1,13,33
2012/09/21,1,14,32
2012/09/22,1,14,32
2012/09/23,1,14,32
2012/09/24,1,14,31
2012/09/25,1,14,31
2012/09/26,1,13,30
2012/09/27,1,13,29
2012/09/28,1,13,29
2012/09/29,1,13,29
2012/09/30,2,13,28
2012/10/01,1,13,26
2012/10/02,2,13,26
2012/10/03,2,14,26
2012/10/04,2,14,27
2012/10/05,2,14,25
2012/10/06,2,13,25
2012/10/07,2,13,25
2012/10/08,3,13,25
2012/10/09,3,12,23
2012/10/10,3,12,21
2012/10/11,3,12,20
2012/10/12,3,12,20
2012/10/13,2,12,20
2012/10/14,2,12,20
2012/10/15,2,11,20
2012/10/16,2,11,21
2012/10/17,2,11,21
2012/10/18,2,11,21
2012/10/19,2,11,22
2012/10/20,2,12,25
2012/10/21,2,12,26
2012/10/22,1,13,26
2012/10/23,1,14,28
2012/10/24,1,14,29
2012/10/25,1,14,30
2012/10/26,1,14,31
2012/10/27,1,14,32
2012/10/28,1,14,32
2012/10/29,1,14,32
2012/10/30,1,15,33
2012/10/31,2,14,34
2012/11/01,2,15,33
2012/11/02,3,15,34
2012/11/03,3,16,36
2012/11/04,3,14,37
2012/11/05,3,14,40
2012/11/06,3,15,39
2012/11/07,3,15,39
2012/11/08,3,15,39
2012/11/09,3,15,39
2012/11/10,3,15,40
2012/11/11,3,17,40
2012/11/12,3,19,40
2012/11/13,3,20,40
2012/11/14,3,20,40
