date,cvwiki (100+),cvwiki (5+),cvwiki (all)
2012/08/19,6,26,64
2012/08/20,6,26,67
2012/08/21,6,26,66
2012/08/22,6,25,65
2012/08/23,5,25,64
2012/08/24,5,24,65
2012/08/25,5,24,65
2012/08/26,5,23,64
2012/08/27,6,24,66
2012/08/28,5,24,68
2012/08/29,5,24,69
2012/08/30,6,24,69
2012/08/31,6,26,69
2012/09/01,6,28,68
2012/09/02,6,30,68
2012/09/03,6,30,68
2012/09/04,5,29,67
2012/09/05,4,28,70
2012/09/06,4,28,70
2012/09/07,4,27,68
2012/09/08,4,25,66
2012/09/09,3,26,67
2012/09/10,3,26,68
2012/09/11,3,26,70
2012/09/12,3,26,68
2012/09/13,3,28,69
2012/09/14,3,28,70
2012/09/15,3,28,73
2012/09/16,3,28,72
2012/09/17,3,28,69
2012/09/18,3,28,67
2012/09/19,3,28,65
2012/09/20,3,28,66
2012/09/21,4,27,68
2012/09/22,5,27,69
2012/09/23,5,28,67
2012/09/24,5,28,67
2012/09/25,5,28,67
2012/09/26,5,27,65
2012/09/27,5,27,64
2012/09/28,5,26,63
2012/09/29,5,26,61
2012/09/30,5,26,61
2012/10/01,5,25,61
2012/10/02,5,24,60
2012/10/03,5,22,58
2012/10/04,5,21,58
2012/10/05,5,21,55
2012/10/06,5,19,54
2012/10/07,6,19,54
2012/10/08,6,20,54
2012/10/09,6,19,51
2012/10/10,6,19,50
2012/10/11,6,20,48
2012/10/12,6,20,47
2012/10/13,6,19,43
2012/10/14,6,19,43
2012/10/15,6,19,41
2012/10/16,6,19,42
2012/10/17,6,20,47
2012/10/18,6,20,46
2012/10/19,6,20,45
2012/10/20,6,20,44
2012/10/21,5,21,45
2012/10/22,5,21,46
2012/10/23,5,21,48
2012/10/24,5,21,48
2012/10/25,5,21,48
2012/10/26,5,21,49
2012/10/27,5,21,50
2012/10/28,5,22,49
2012/10/29,5,22,51
2012/10/30,5,22,52
2012/10/31,5,22,53
2012/11/01,5,22,53
2012/11/02,5,22,57
2012/11/03,5,22,57
2012/11/04,5,22,59
2012/11/05,5,23,60
2012/11/06,5,23,61
2012/11/07,4,23,62
2012/11/08,4,23,64
2012/11/09,4,23,64
2012/11/10,4,22,65
2012/11/11,4,23,65
2012/11/12,4,23,65
2012/11/13,4,23,63
2012/11/14,4,23,62
2012/11/15,5,23,62
2012/11/16,5,22,56
2012/11/17,5,23,56
2012/11/18,6,23,57
2012/11/19,6,23,57
2012/11/20,7,23,55
2012/11/21,7,22,54
2012/11/22,7,22,51
2012/11/23,7,22,52
2012/11/24,7,22,53
2012/11/25,7,22,58
2012/11/26,7,22,58
2012/11/27,6,24,61
2012/11/28,6,25,62
2012/11/29,6,25,61
2012/11/30,6,26,61
2012/12/01,6,27,64
2012/12/02,6,26,65
2012/12/03,6,26,63
2012/12/04,6,26,64
2012/12/05,6,26,64
2012/12/06,7,26,63
2012/12/07,7,26,64
2012/12/08,7,26,63
2012/12/09,7,25,64
2012/12/10,7,24,65
2012/12/11,7,24,64
2012/12/12,8,24,66
2012/12/13,8,24,66
2012/12/14,8,25,65
2012/12/15,8,25,67
2012/12/16,9,26,68
2012/12/17,9,26,70
2012/12/18,9,27,69
2012/12/19,9,27,70
2012/12/20,9,27,72
2012/12/21,9,27,69
2012/12/22,9,27,67
2012/12/23,9,27,67
2012/12/24,8,26,66
2012/12/25,8,27,61
2012/12/26,8,27,64
2012/12/27,8,26,64
2012/12/28,8,24,65
2012/12/29,8,26,64
2012/12/30,8,25,67
2012/12/31,8,24,70
2013/01/01,8,24,69
2013/01/02,7,24,71
2013/01/03,8,24,71
2013/01/04,7,24,70
2013/01/05,7,24,72
2013/01/06,7,25,71
2013/01/07,7,25,73
2013/01/08,7,25,73
2013/01/09,7,25,72
2013/01/10,7,25,73
2013/01/11,7,25,71
2013/01/12,7,23,72
2013/01/13,7,23,74
2013/01/14,7,25,73
2013/01/15,7,24,73
2013/01/16,7,25,70
2013/01/17,7,26,72
2013/01/18,7,26,70
2013/01/19,7,26,69
2013/01/20,7,26,69
2013/01/21,7,26,69
2013/01/22,6,26,66
2013/01/23,6,26,66
2013/01/24,6,26,65
2013/01/25,6,26,63
2013/01/26,7,25,62
2013/01/27,7,25,62
2013/01/28,6,25,64
2013/01/29,6,26,65
2013/01/30,7,27,63
2013/01/31,6,27,62
2013/02/01,7,27,60
2013/02/02,6,26,61
2013/02/03,6,26,61
2013/02/04,6,26,62
2013/02/05,6,26,61
2013/02/06,6,26,60
2013/02/07,6,26,62
2013/02/08,6,26,63
2013/02/09,6,27,61
2013/02/10,7,27,62
2013/02/11,7,27,63
2013/02/12,7,27,64
2013/02/13,7,26,65
2013/02/14,7,27,65
2013/02/15,6,27,65
2013/02/16,6,26,66
2013/02/17,6,27,66
2013/02/18,6,27,66
2013/02/19,7,26,65
2013/02/20,7,26,64
2013/02/21,7,26,65
2013/02/22,7,26,64
2013/02/23,7,26,67
2013/02/24,7,26,65
2013/02/25,7,26,63
2013/02/26,7,25,61
2013/02/27,7,24,60
2013/02/28,7,23,56
2013/03/01,6,23,54
2013/03/02,6,23,56
2013/03/03,7,24,56
2013/03/04,6,24,55
2013/03/05,6,26,57
2013/03/06,6,26,58
2013/03/07,7,27,58
2013/03/08,7,27,57
2013/03/09,7,27,56
2013/03/10,6,24,56
2013/03/11,6,24,56
2013/03/12,7,25,58
2013/03/13,7,25,58
2013/03/14,7,24,55
2013/03/15,7,23,54
2013/03/16,7,21,53
2013/03/17,7,21,52
2013/03/18,7,21,51
2013/03/19,7,21,52
2013/03/20,7,20,51
2013/03/21,5,20,51
2013/03/22,5,19,51
2013/03/23,5,19,50
2013/03/24,5,18,50
