date,rwwiki (100+),rwwiki (5+),rwwiki (all)
2012/12/26,3,22,39
2012/12/27,3,21,40
2012/12/28,3,20,39
2012/12/29,3,20,39
2012/12/30,3,21,40
2012/12/31,4,20,39
2013/01/01,4,20,39
2013/01/02,4,19,38
2013/01/03,4,20,39
2013/01/04,4,20,40
2013/01/05,3,20,41
2013/01/06,3,21,43
2013/01/07,3,19,44
2013/01/08,2,19,43
2013/01/09,2,20,44
2013/01/10,2,19,45
2013/01/11,2,19,46
2013/01/12,2,18,48
2013/01/13,2,18,49
2013/01/14,2,19,48
2013/01/15,2,19,47
2013/01/16,1,19,46
2013/01/17,1,19,46
2013/01/18,2,19,45
2013/01/19,2,20,44
2013/01/20,3,21,44
2013/01/21,3,19,44
2013/01/22,3,20,45
2013/01/23,3,20,45
2013/01/24,3,20,45
2013/01/25,2,20,44
2013/01/26,2,19,45
2013/01/27,2,18,44
2013/01/28,2,19,46
2013/01/29,2,18,46
2013/01/30,2,19,46
2013/01/31,3,19,46
2013/02/01,3,19,46
2013/02/02,3,19,46
2013/02/03,3,19,45
2013/02/04,3,19,46
2013/02/05,3,19,44
2013/02/06,2,16,42
2013/02/07,3,16,42
2013/02/08,3,16,39
2013/02/09,4,17,39
2013/02/10,4,20,37
2013/02/11,4,20,35
2013/02/12,4,21,36
2013/02/13,4,20,36
2013/02/14,4,20,35
2013/02/15,4,19,35
2013/02/16,4,19,36
2013/02/17,3,18,37
2013/02/18,4,17,37
2013/02/19,3,15,37
2013/02/20,3,15,36
2013/02/21,3,15,35
2013/02/22,3,16,35
2013/02/23,3,17,35
2013/02/24,2,17,36
2013/02/25,2,16,36
2013/02/26,4,16,36
2013/02/27,3,17,34
2013/02/28,3,17,34
2013/03/01,2,15,33
2013/03/02,2,15,32
2013/03/03,2,15,33
2013/03/04,2,15,33
2013/03/05,3,15,33
2013/03/06,3,15,33
2013/03/07,3,15,33
2013/03/08,4,16,33
2013/03/09,3,16,32
2013/03/10,3,16,32
2013/03/11,3,15,32
2013/03/12,4,14,33
2013/03/13,4,13,33
2013/03/14,4,13,32
2013/03/15,4,13,32
2013/03/16,3,11,32
2013/03/17,3,11,33
2013/03/18,3,11,32
2013/03/19,3,11,33
2013/03/20,3,11,33
2013/03/21,3,11,34
2013/03/22,3,11,34
2013/03/23,2,11,33
2013/03/24,2,11,33
2013/03/25,2,10,31
2013/03/26,2,9,31
2013/03/27,2,9,31
2013/03/28,2,9,28
2013/03/29,2,9,27
2013/03/30,2,9,26
2013/03/31,2,9,26
2013/04/01,2,8,27
2013/04/02,2,8,27
2013/04/03,2,5,26
2013/04/04,2,4,25
2013/04/05,2,4,21
2013/04/06,2,2,18
2013/04/07,2,2,17
2013/04/08,1,1,16
2013/04/09,1,1,16
2013/04/10,1,1,16
2013/04/11,,1,16
2013/04/12,,1,16
2013/04/13,,1,17
2013/04/14,,1,16
2013/04/15,,2,16
2013/04/16,,2,13
2013/04/17,,2,13
2013/04/18,,3,13
2013/04/19,,3,14
2013/04/20,,3,12
2013/04/21,,3,13
2013/04/22,,3,14
2013/04/23,,3,13
2013/04/24,,3,14
2013/04/25,,3,14
2013/04/26,,3,14
2013/04/27,,3,14
2013/04/28,,3,14
2013/04/29,,3,14
2013/04/30,,3,14
2013/05/01,,3,13
2013/05/02,,3,12
2013/05/03,,2,11
2013/05/04,,2,10
2013/05/05,,2,10
2013/05/06,,2,10
2013/05/07,,2,10
2013/05/08,,2,10
2013/05/09,,2,10
2013/05/10,,2,10
2013/05/11,,2,10
2013/05/12,,2,10
2013/05/13,,2,10
2013/05/14,,2,10
2013/05/15,,2,9
2013/05/16,,2,9
2013/05/17,,2,9
2013/05/18,,1,8
2013/05/19,,1,7
2013/05/20,,1,7
2013/05/21,,1,6
2013/05/22,,1,5
2013/05/23,,1,6
2013/05/24,,1,5
2013/05/25,,1,5
2013/05/26,,1,5
2013/05/27,,1,5
2013/05/28,,1,4
2013/05/29,,1,4
2013/05/30,,1,4
2013/05/31,,1,4
2013/06/01,,1,4
2013/06/02,,1,4
2013/06/03,,1,4
2013/06/04,,1,4
2013/06/05,,,4
2013/06/06,,,4
2013/06/07,,,4
2013/06/08,,,5
2013/06/09,,,5
2013/06/10,,,4
2013/06/11,,,4
2013/06/12,,,4
2013/06/13,,,4
2013/06/14,,,4
2013/06/15,,,4
2013/06/16,,,4
2013/06/17,,,4
2013/06/18,,,4
2013/06/19,,,5
2013/06/20,,,5
2013/06/21,,,5
2013/06/22,,,6
2013/06/23,,,6
2013/06/24,,,7
2013/06/25,,,7
2013/06/26,,,8
2013/06/27,,,8
2013/06/28,,,8
2013/06/29,,,8
2013/06/30,,,8
2013/07/01,,,8
2013/07/02,,,8
2013/07/03,,,10
2013/07/04,,,12
2013/07/05,,,12
2013/07/06,,,12
2013/07/07,,,12
2013/07/08,,,11
2013/07/09,,,11
2013/07/10,,,11
2013/07/11,,,10
2013/07/12,,,10
2013/07/13,,,10
2013/07/14,,,9
2013/07/15,,,9
2013/07/16,,,9
2013/07/17,,,9
2013/07/18,,,9
2013/07/19,,,10
2013/07/20,,,10
2013/07/21,,,10
2013/07/22,,,9
2013/07/23,,,10
2013/07/24,,1,9
2013/07/25,,1,10
2013/07/26,,1,9
2013/07/27,,1,9
2013/07/28,,1,9
2013/07/29,,1,9
2013/07/30,,1,9
2013/07/31,,1,9
2013/08/01,,1,8
2013/08/02,,1,6
2013/08/03,,1,5
2013/08/04,,1,5
2013/08/05,,1,5
2013/08/06,,1,5
2013/08/07,,1,5
2013/08/08,,1,5
2013/08/09,,1,5
2013/08/10,,1,7
2013/08/11,,1,7
2013/08/12,,1,7
2013/08/13,,1,7
2013/08/14,,1,7
2013/08/15,,1,7
2013/08/16,,1,7
2013/08/17,,1,7
2013/08/18,,2,6
2013/08/19,,2,6
2013/08/20,,2,6
2013/08/21,,2,6
2013/08/22,,2,6
2013/08/23,,2,6
2013/08/24,,2,5
2013/08/25,,2,5
2013/08/26,,2,5
2013/08/27,,2,5
2013/08/28,,2,5
2013/08/29,,1,6
2013/08/30,,1,5
2013/08/31,,1,5
2013/09/01,,1,5
2013/09/02,,1,5
2013/09/03,,1,5
2013/09/04,,1,5
2013/09/05,,1,5
2013/09/06,,1,5
2013/09/07,,1,5
2013/09/08,,1,5
2013/09/09,,1,3
2013/09/10,,1,4
2013/09/11,,1,4
2013/09/12,,1,4
2013/09/13,,1,4
2013/09/14,,1,4
2013/09/15,,1,4
2013/09/16,,1,5
2013/09/17,,,5
2013/09/18,,,6
2013/09/19,,,6
2013/09/20,,,6
2013/09/21,,,7
2013/09/22,,,7
2013/09/23,,,6
2013/09/24,,,6
2013/09/25,,,6
2013/09/26,,,6
2013/09/27,,,6
2013/09/28,,,6
2013/09/29,,,6
2013/09/30,,,6
2013/10/01,,,6
2013/10/02,,,5
2013/10/03,,,5
2013/10/04,,,5
2013/10/05,,,5
2013/10/06,,,5
2013/10/07,,,5
2013/10/08,,,6
2013/10/09,,,6
2013/10/10,,,8
2013/10/11,,,8
2013/10/12,,,8
2013/10/13,,,6
2013/10/14,,,6
2013/10/15,,,6
2013/10/16,,,5
2013/10/17,,,6
2013/10/18,,,6
2013/10/19,,,7
2013/10/20,,,7
2013/10/21,,,6
2013/10/22,,,6
2013/10/23,,,6
2013/10/24,,,6
2013/10/25,,,6
2013/10/26,,,8
2013/10/27,,,8
2013/10/28,,,8
2013/10/29,,,7
2013/10/30,,,8
2013/10/31,,,8
2013/11/01,,,8
2013/11/02,,,8
2013/11/03,,,8
2013/11/04,,,8
2013/11/05,,,8
2013/11/06,,,8
2013/11/07,,,7
2013/11/08,,,8
2013/11/09,,,6
2013/11/10,,1,7
2013/11/11,,1,8
2013/11/12,,1,8
2013/11/13,,1,9
2013/11/14,,2,10
2013/11/15,,2,10
2013/11/16,,2,9
2013/11/17,,2,9
2013/11/18,,2,8
2013/11/19,,2,8
2013/11/20,,2,8
2013/11/21,,2,8
2013/11/22,,2,8
2013/11/23,,2,9
2013/11/24,,2,10
2013/11/25,,2,9
2013/11/26,,2,9
2013/11/27,,2,9
2013/11/28,,2,9
2013/11/29,,2,8
2013/11/30,,2,8
2013/12/01,,2,9
2013/12/02,,2,9
2013/12/03,,2,11
