date,koiwiki (100+),koiwiki (5+),koiwiki (all)
2012/08/19,2,12,31
2012/08/20,2,12,32
2012/08/21,2,12,32
2012/08/22,2,11,32
2012/08/23,2,12,34
2012/08/24,2,13,31
2012/08/25,2,11,30
2012/08/26,2,11,27
2012/08/27,2,10,27
2012/08/28,2,10,28
2012/08/29,2,10,29
2012/08/30,2,10,30
2012/08/31,2,10,31
2012/09/01,2,10,34
2012/09/02,2,11,34
2012/09/03,2,11,34
2012/09/04,1,11,34
2012/09/05,2,12,33
2012/09/06,2,12,33
2012/09/07,2,12,33
2012/09/08,2,11,32
2012/09/09,2,13,34
2012/09/10,2,13,33
2012/09/11,2,13,34
2012/09/12,2,13,34
2012/09/13,2,13,35
2012/09/14,2,13,36
2012/09/15,2,13,34
2012/09/16,2,13,34
2012/09/17,2,13,33
2012/09/18,2,14,33
2012/09/19,2,14,31
2012/09/20,1,14,30
2012/09/21,1,14,29
2012/09/22,2,12,30
2012/09/23,2,12,30
2012/09/24,2,12,30
2012/09/25,1,12,30
2012/09/26,1,12,31
2012/09/27,1,12,30
2012/09/28,1,12,31
2012/09/29,1,13,29
2012/09/30,2,13,29
2012/10/01,2,13,28
2012/10/02,2,14,28
2012/10/03,2,14,28
2012/10/04,2,14,28
2012/10/05,2,14,27
2012/10/06,2,14,27
2012/10/07,2,14,28
2012/10/08,2,14,28
2012/10/09,2,13,27
2012/10/10,3,14,27
2012/10/11,3,13,27
2012/10/12,3,13,27
2012/10/13,3,13,25
2012/10/14,3,14,26
2012/10/15,3,13,27
2012/10/16,3,13,26
2012/10/17,3,14,26
2012/10/18,3,12,25
2012/10/19,2,11,25
2012/10/20,3,12,27
2012/10/21,3,12,29
2012/10/22,3,13,29
2012/10/23,3,13,29
2012/10/24,3,13,30
2012/10/25,3,13,31
2012/10/26,3,14,30
2012/10/27,3,14,30
2012/10/28,3,13,31
2012/10/29,3,13,31
2012/10/30,3,14,31
2012/10/31,3,14,30
2012/11/01,2,14,30
2012/11/02,2,14,32
2012/11/03,2,14,33
2012/11/04,2,15,33
2012/11/05,2,14,33
2012/11/06,1,14,33
2012/11/07,1,14,33
2012/11/08,1,14,33
2012/11/09,1,14,34
2012/11/10,1,13,34
2012/11/11,1,15,34
2012/11/12,1,15,35
2012/11/13,1,15,36
2012/11/14,1,16,36
2012/11/15,1,15,36
2012/11/16,1,15,36
2012/11/17,1,15,36
2012/11/18,1,15,36
2012/11/19,1,15,34
2012/11/20,1,13,34
2012/11/21,1,13,34
2012/11/22,1,13,35
2012/11/23,,13,36
2012/11/24,,13,36
2012/11/25,,13,36
2012/11/26,,14,36
2012/11/27,,14,37
2012/11/28,,14,36
2012/11/29,,13,36
2012/11/30,,14,36
2012/12/01,,14,36
2012/12/02,,14,35
2012/12/03,,14,36
2012/12/04,,14,36
2012/12/05,,15,37
2012/12/06,,16,37
2012/12/07,,16,37
2012/12/08,,16,37
2012/12/09,,15,34
2012/12/10,,15,34
2012/12/11,,15,34
2012/12/12,,15,33
2012/12/13,,15,32
2012/12/14,1,14,33
2012/12/15,1,14,35
2012/12/16,2,14,34
2012/12/17,2,15,34
2012/12/18,2,15,36
2012/12/19,2,15,37
2012/12/20,2,15,35
2012/12/21,2,15,34
2012/12/22,2,16,34
2012/12/23,2,15,34
2012/12/24,2,14,34
2012/12/25,2,14,34
2012/12/26,2,14,34
2012/12/27,2,14,33
2012/12/28,2,14,34
2012/12/29,2,13,34
2012/12/30,2,13,33
2012/12/31,3,13,34
2013/01/01,3,15,35
2013/01/02,3,16,34
2013/01/03,3,16,35
2013/01/04,3,16,34
2013/01/05,2,17,34
2013/01/06,2,17,34
2013/01/07,2,17,34
2013/01/08,2,17,34
2013/01/09,1,17,34
2013/01/10,1,17,34
2013/01/11,1,16,34
2013/01/12,1,16,33
2013/01/13,1,16,32
2013/01/14,1,16,33
2013/01/15,1,16,32
2013/01/16,1,17,32
2013/01/17,1,17,31
2013/01/18,1,17,30
2013/01/19,2,18,29
2013/01/20,2,18,28
2013/01/21,2,17,28
2013/01/22,2,16,28
2013/01/23,2,16,28
2013/01/24,2,16,29
2013/01/25,2,16,29
2013/01/26,2,17,30
2013/01/27,2,17,29
2013/01/28,2,17,29
2013/01/29,2,17,30
2013/01/30,2,17,29
2013/01/31,2,15,29
2013/02/01,2,14,28
2013/02/02,2,13,26
2013/02/03,2,13,26
2013/02/04,2,13,26
2013/02/05,2,13,25
2013/02/06,2,14,25
2013/02/07,2,14,25
2013/02/08,2,14,26
2013/02/09,2,14,27
2013/02/10,2,15,27
2013/02/11,2,15,27
2013/02/12,2,16,27
2013/02/13,2,16,27
2013/02/14,2,16,26
2013/02/15,2,16,26
2013/02/16,2,16,28
2013/02/17,2,16,29
2013/02/18,2,16,30
2013/02/19,2,16,29
2013/02/20,2,16,29
2013/02/21,2,16,29
2013/02/22,2,16,30
2013/02/23,2,16,29
2013/02/24,2,16,28
2013/02/25,2,15,27
2013/02/26,2,15,27
2013/02/27,2,15,25
2013/02/28,2,15,23
2013/03/01,2,14,23
2013/03/02,2,13,23
2013/03/03,2,13,24
2013/03/04,2,14,25
2013/03/05,2,14,24
2013/03/06,2,14,24
2013/03/07,2,14,24
2013/03/08,3,14,25
2013/03/09,2,13,25
2013/03/10,2,12,25
2013/03/11,2,12,24
2013/03/12,3,11,24
2013/03/13,3,11,24
2013/03/14,3,11,24
2013/03/15,3,11,23
2013/03/16,3,11,23
2013/03/17,3,10,23
2013/03/18,3,10,21
2013/03/19,2,10,20
2013/03/20,2,10,19
2013/03/21,2,10,20
2013/03/22,2,10,20
2013/03/23,2,9,19
2013/03/24,2,9,20
2013/03/25,2,8,20
2013/03/26,2,7,20
2013/03/27,2,7,20
2013/03/28,2,6,20
2013/03/29,2,5,21
2013/03/30,2,5,20
2013/03/31,2,5,19
2013/04/01,2,5,19
2013/04/02,2,5,17
2013/04/03,2,5,15
2013/04/04,2,4,15
2013/04/05,2,3,13
2013/04/06,2,3,10
2013/04/07,2,3,9
2013/04/08,2,3,10
2013/04/09,2,2,11
2013/04/10,1,2,11
2013/04/11,,2,11
2013/04/12,,2,13
2013/04/13,,2,13
2013/04/14,,2,12
2013/04/15,1,2,12
2013/04/16,1,2,12
2013/04/17,1,2,13
2013/04/18,1,2,13
2013/04/19,1,2,14
2013/04/20,1,2,14
2013/04/21,1,2,14
2013/04/22,1,2,14
2013/04/23,1,2,12
2013/04/24,1,2,12
2013/04/25,1,2,12
2013/04/26,1,2,12
2013/04/27,1,2,12
2013/04/28,1,2,11
2013/04/29,1,2,11
2013/04/30,1,2,11
2013/05/01,1,2,11
2013/05/02,1,2,10
2013/05/03,1,1,10
2013/05/04,1,1,10
2013/05/05,1,1,10
2013/05/06,1,1,10
2013/05/07,1,1,10
2013/05/08,1,1,10
2013/05/09,1,1,9
2013/05/10,1,1,9
2013/05/11,1,1,9
2013/05/12,1,1,8
2013/05/13,1,1,9
2013/05/14,1,1,9
2013/05/15,1,1,8
2013/05/16,,,8
2013/05/17,,,6
2013/05/18,,,6
2013/05/19,,,5
2013/05/20,,,5
2013/05/21,,,4
2013/05/22,,,5
2013/05/23,,,5
2013/05/24,,,5
2013/05/25,,,5
2013/05/26,,,5
2013/05/27,,,5
2013/05/28,,,5
2013/05/29,,,5
2013/05/30,,1,7
2013/05/31,,1,7
2013/06/01,,1,8
2013/06/02,,1,7
2013/06/03,,2,7
2013/06/04,,2,7
2013/06/05,,2,6
2013/06/06,,2,6
2013/06/07,,2,6
2013/06/08,,2,6
2013/06/09,,2,6
2013/06/10,,2,7
2013/06/11,,2,7
2013/06/12,,2,7
2013/06/13,,2,7
2013/06/14,,2,9
2013/06/15,,2,9
2013/06/16,,2,10
2013/06/17,,2,10
2013/06/18,,2,11
2013/06/19,,2,11
2013/06/20,,2,11
2013/06/21,,1,11
2013/06/22,,1,13
2013/06/23,,1,13
2013/06/24,,1,14
2013/06/25,,1,14
2013/06/26,,1,14
2013/06/27,,1,14
2013/06/28,,1,14
2013/06/29,,,12
2013/06/30,,,12
2013/07/01,,,11
2013/07/02,,,12
2013/07/03,,,12
2013/07/04,,,13
2013/07/05,,,13
2013/07/06,,,13
2013/07/07,,,13
2013/07/08,,,13
2013/07/09,,,14
2013/07/10,,,13
2013/07/11,,,14
2013/07/12,,,14
2013/07/13,,,14
2013/07/14,,,13
2013/07/15,,,13
2013/07/16,,,13
2013/07/17,,,13
2013/07/18,,,13
2013/07/19,,,13
2013/07/20,,,13
2013/07/21,,,13
2013/07/22,,,11
2013/07/23,,,10
2013/07/24,,,9
2013/07/25,,,10
2013/07/26,,,10
2013/07/27,,,10
2013/07/28,,,10
2013/07/29,,,10
2013/07/30,,,10
2013/07/31,,,10
2013/08/01,,,10
2013/08/02,,,10
2013/08/03,,,9
2013/08/04,,,9
2013/08/05,,,9
2013/08/06,,,9
2013/08/07,,,9
2013/08/08,,,8
2013/08/09,,,8
2013/08/10,,,6
2013/08/11,,,6
2013/08/12,,,6
2013/08/13,,,6
2013/08/14,,,6
2013/08/15,,,5
2013/08/16,,,5
2013/08/17,,,5
2013/08/18,,,5
2013/08/19,,,5
2013/08/20,,,5
2013/08/21,,,5
2013/08/22,,,5
2013/08/23,,,4
2013/08/24,,,3
2013/08/25,,,3
2013/08/26,,,3
2013/08/27,,,3
2013/08/28,,,2
2013/08/29,,,3
2013/08/30,,,3
2013/08/31,,,3
