date,tumwiki (100+),tumwiki (5+),tumwiki (all)
2012/08/19,,7,18
2012/08/20,,7,17
2012/08/21,,7,17
2012/08/22,,7,18
2012/08/23,,7,20
2012/08/24,,7,20
2012/08/25,,7,21
2012/08/26,,7,20
2012/08/27,,7,19
2012/08/28,,7,20
2012/08/29,,8,20
2012/08/30,,8,20
2012/08/31,,8,20
2012/09/01,,8,20
2012/09/02,,8,20
2012/09/03,,8,20
2012/09/04,,8,20
2012/09/05,,8,19
2012/09/06,,8,19
2012/09/07,,8,19
2012/09/08,,7,19
2012/09/09,,8,19
2012/09/10,,8,20
2012/09/11,,8,21
2012/09/12,,8,21
2012/09/13,,9,21
2012/09/14,,9,21
2012/09/15,,10,21
2012/09/16,,9,21
2012/09/17,,9,21
2012/09/18,,9,22
2012/09/19,,10,21
2012/09/20,,11,21
2012/09/21,,9,18
2012/09/22,,10,17
2012/09/23,,10,17
2012/09/24,,10,17
2012/09/25,,10,17
2012/09/26,,10,16
2012/09/27,,10,17
2012/09/28,,9,16
2012/09/29,,9,16
2012/09/30,,9,17
2012/10/01,,9,17
2012/10/02,,9,17
2012/10/03,,9,16
2012/10/04,,10,16
2012/10/05,,10,16
2012/10/06,,10,16
2012/10/07,,10,16
2012/10/08,,10,16
2012/10/09,,10,16
2012/10/10,,9,15
2012/10/11,,9,15
2012/10/12,,9,15
2012/10/13,,9,15
2012/10/14,,9,15
2012/10/15,,9,15
2012/10/16,,9,15
2012/10/17,,9,15
2012/10/18,,9,15
2012/10/19,,8,15
2012/10/20,,8,15
2012/10/21,,8,15
2012/10/22,,8,15
2012/10/23,,8,16
2012/10/24,,7,15
2012/10/25,,7,15
2012/10/26,,7,15
2012/10/27,,6,13
2012/10/28,,6,15
2012/10/29,,6,15
2012/10/30,,5,14
2012/10/31,,5,14
2012/11/01,,5,14
2012/11/02,,5,14
2012/11/03,,5,13
2012/11/04,,5,14
2012/11/05,,5,14
2012/11/06,,5,14
2012/11/07,,5,15
2012/11/08,,6,16
2012/11/09,,6,17
2012/11/10,,6,17
2012/11/11,,6,18
2012/11/12,,6,18
2012/11/13,,7,18
2012/11/14,,7,18
2012/11/15,,7,18
2012/11/16,,7,18
2012/11/17,,7,18
2012/11/18,,7,18
2012/11/19,,7,18
2012/11/20,,7,18
2012/11/21,,7,18
2012/11/22,,7,18
2012/11/23,,7,17
2012/11/24,,7,17
2012/11/25,,7,17
2012/11/26,,7,18
2012/11/27,,7,17
2012/11/28,,7,18
2012/11/29,,7,20
2012/11/30,,7,20
2012/12/01,,7,21
2012/12/02,,8,19
2012/12/03,,8,20
2012/12/04,,8,19
2012/12/05,,8,19
2012/12/06,,8,19
2012/12/07,,8,18
2012/12/08,,8,19
2012/12/09,,8,19
2012/12/10,,8,19
2012/12/11,,8,19
2012/12/12,,8,22
2012/12/13,,7,22
2012/12/14,,7,22
2012/12/15,,7,23
2012/12/16,,7,24
2012/12/17,,7,24
2012/12/18,,7,24
2012/12/19,,7,25
2012/12/20,,7,25
2012/12/21,,7,25
2012/12/22,,7,25
2012/12/23,,7,24
2012/12/24,,8,25
2012/12/25,,8,25
2012/12/26,,9,25
2012/12/27,,9,24
2012/12/28,,9,27
2012/12/29,,9,25
2012/12/30,,9,26
2012/12/31,,9,26
2013/01/01,,9,26
2013/01/02,,9,26
2013/01/03,,9,28
2013/01/04,,9,28
2013/01/05,,9,27
2013/01/06,,8,27
2013/01/07,,8,26
2013/01/08,,8,28
2013/01/09,,8,28
2013/01/10,,8,27
2013/01/11,,8,25
2013/01/12,,8,25
2013/01/13,,8,25
2013/01/14,,8,24
2013/01/15,,7,24
2013/01/16,,7,24
2013/01/17,,7,24
2013/01/18,,7,24
2013/01/19,,7,23
2013/01/20,,7,25
2013/01/21,,7,25
2013/01/22,,7,25
2013/01/23,,6,24
2013/01/24,,6,24
2013/01/25,,6,24
2013/01/26,,6,24
2013/01/27,,6,21
2013/01/28,,6,21
2013/01/29,,6,21
2013/01/30,,5,21
2013/01/31,,5,21
2013/02/01,,5,21
2013/02/02,,5,18
2013/02/03,,5,18
2013/02/04,,5,17
2013/02/05,,5,17
2013/02/06,,4,18
2013/02/07,,4,16
2013/02/08,,4,16
2013/02/09,,3,17
2013/02/10,,3,17
2013/02/11,,3,17
2013/02/12,,3,18
2013/02/13,,3,19
2013/02/14,,3,18
2013/02/15,,3,19
2013/02/16,,3,21
2013/02/17,,3,20
2013/02/18,,3,20
2013/02/19,,3,18
2013/02/20,,3,18
2013/02/21,,3,17
2013/02/22,,3,17
2013/02/23,,3,17
2013/02/24,,3,17
2013/02/25,,3,17
2013/02/26,,3,17
2013/02/27,,3,17
2013/02/28,,3,17
2013/03/01,,3,17
2013/03/02,,3,17
2013/03/03,,3,17
2013/03/04,,3,18
2013/03/05,,5,18
2013/03/06,,5,17
2013/03/07,,4,17
2013/03/08,1,5,17
2013/03/09,1,5,17
2013/03/10,1,5,17
2013/03/11,1,5,17
2013/03/12,1,6,16
2013/03/13,1,6,16
2013/03/14,1,6,15
2013/03/15,1,6,14
2013/03/16,1,6,14
2013/03/17,1,6,13
2013/03/18,1,6,11
2013/03/19,1,6,11
2013/03/20,1,5,10
2013/03/21,1,5,10
2013/03/22,1,5,10
2013/03/23,1,5,10
2013/03/24,1,5,10
2013/03/25,1,5,9
2013/03/26,1,4,9
2013/03/27,1,4,9
2013/03/28,1,4,9
2013/03/29,1,3,8
2013/03/30,1,3,8
2013/03/31,1,3,8
2013/04/01,1,3,8
2013/04/02,1,3,8
2013/04/03,1,2,7
2013/04/04,1,2,5
2013/04/05,1,2,5
2013/04/06,1,2,3
2013/04/07,,2,3
2013/04/08,,2,3
2013/04/09,,2,3
2013/04/10,,1,3
2013/04/11,,,3
2013/04/12,,,4
2013/04/13,,,4
2013/04/14,,,4
2013/04/15,,,5
2013/04/16,,,5
2013/04/17,,,5
2013/04/18,,,5
2013/04/19,,,5
2013/04/20,,,5
2013/04/21,,,5
2013/04/22,,,5
2013/04/23,,,5
2013/04/24,,,4
2013/04/25,,,4
2013/04/26,,,4
2013/04/27,,,4
2013/04/28,,,4
2013/04/29,,,3
2013/04/30,,,3
2013/05/01,,,3
2013/05/02,,,3
2013/05/03,,,2
2013/05/04,,,2
2013/05/05,,,2
2013/05/06,,,2
2013/05/07,,,2
2013/05/08,,,2
2013/05/09,,,2
2013/05/10,,,2
2013/05/11,,,2
2013/05/12,,,1
2013/05/13,,,1
2013/05/14,,,1
2013/05/22,,,1
2013/05/23,,,1
2013/05/24,,,1
2013/05/25,,,1
2013/05/26,,,1
2013/05/27,,,1
2013/05/28,,,1
2013/05/29,,,1
2013/05/30,,,1
2013/05/31,,,1
2013/06/01,,,1
2013/06/02,,,1
