date,kywiki (100+),kywiki (5+),kywiki (all)
2012/08/19,8,48,90
2012/08/20,7,47,94
2012/08/21,7,44,91
2012/08/22,7,45,94
2012/08/23,7,44,94
2012/08/24,8,42,97
2012/08/25,8,42,97
2012/08/26,8,42,95
2012/08/27,7,42,96
2012/08/28,7,41,93
2012/08/29,7,41,93
2012/08/30,6,42,91
2012/08/31,6,43,87
2012/09/01,6,41,87
2012/09/02,6,41,90
2012/09/03,6,41,89
2012/09/04,6,42,88
2012/09/05,6,40,90
2012/09/06,7,40,90
2012/09/07,7,39,89
2012/09/08,7,34,81
2012/09/09,7,39,84
2012/09/10,7,39,86
2012/09/11,7,39,87
2012/09/12,7,41,87
2012/09/13,7,41,86
2012/09/14,7,43,89
2012/09/15,7,48,94
2012/09/16,8,49,97
2012/09/17,8,48,96
2012/09/18,8,54,105
2012/09/19,9,53,102
2012/09/20,9,52,101
2012/09/21,9,50,102
2012/09/22,9,51,100
2012/09/23,9,51,98
2012/09/24,9,51,97
2012/09/25,9,50,96
2012/09/26,9,52,97
2012/09/27,9,58,105
2012/09/28,9,60,114
2012/09/29,9,58,111
2012/09/30,9,58,110
2012/10/01,9,57,109
2012/10/02,10,56,106
2012/10/03,10,57,107
2012/10/04,10,57,106
2012/10/05,10,59,105
2012/10/06,10,60,102
2012/10/07,10,60,104
2012/10/08,10,60,104
2012/10/09,10,57,99
2012/10/10,10,57,99
2012/10/11,10,58,99
2012/10/12,10,58,99
2012/10/13,10,58,99
2012/10/14,10,56,96
2012/10/15,10,52,92
2012/10/16,9,51,91
2012/10/17,9,51,93
2012/10/18,8,44,83
2012/10/19,8,45,88
2012/10/20,8,45,91
2012/10/21,8,46,91
2012/10/22,8,44,91
2012/10/23,8,44,93
2012/10/24,8,45,95
2012/10/25,8,45,96
2012/10/26,8,43,96
2012/10/27,8,39,88
2012/10/28,8,35,78
2012/10/29,8,33,80
2012/10/30,8,32,80
2012/10/31,9,33,78
2012/11/01,8,33,77
2012/11/02,8,33,78
2012/11/03,8,35,84
2012/11/04,8,35,83
2012/11/05,8,35,83
2012/11/06,8,35,82
2012/11/07,8,35,82
2012/11/08,8,35,84
2012/11/09,8,35,83
2012/11/10,8,35,82
2012/11/11,9,34,80
2012/11/12,9,35,81
2012/11/13,9,34,83
2012/11/14,9,35,82
2012/11/15,8,36,82
2012/11/16,7,35,83
2012/11/17,7,37,81
2012/11/18,7,37,80
2012/11/19,7,37,79
2012/11/20,7,39,81
2012/11/21,7,38,82
2012/11/22,7,40,86
2012/11/23,8,40,86
2012/11/24,7,41,87
2012/11/25,7,42,88
2012/11/26,7,43,90
2012/11/27,7,43,91
2012/11/28,6,43,92
2012/11/29,6,44,92
2012/11/30,7,44,95
2012/12/01,8,45,98
2012/12/02,7,45,97
2012/12/03,8,43,91
2012/12/04,8,43,90
2012/12/05,8,43,91
2012/12/06,8,44,92
2012/12/07,7,46,96
2012/12/08,8,55,106
2012/12/09,9,68,116
2012/12/10,10,68,116
2012/12/11,10,70,119
2012/12/12,11,71,120
2012/12/13,11,73,118
2012/12/14,12,72,116
2012/12/15,13,72,115
2012/12/16,12,72,112
2012/12/17,12,72,114
2012/12/18,13,71,115
2012/12/19,13,71,117
2012/12/20,13,73,118
2012/12/21,13,74,118
2012/12/22,13,76,114
2012/12/23,12,76,112
2012/12/24,11,76,113
2012/12/25,13,77,115
2012/12/26,14,75,115
2012/12/27,13,76,116
2012/12/28,13,73,114
2012/12/29,13,75,113
2012/12/30,13,75,115
2012/12/31,13,75,111
2013/01/01,14,75,112
2013/01/02,14,76,110
2013/01/03,13,78,113
2013/01/04,13,79,112
2013/01/05,13,77,114
2013/01/06,13,77,115
2013/01/07,13,76,114
2013/01/08,8,67,113
2013/01/09,9,63,104
2013/01/10,9,62,103
2013/01/11,9,59,103
2013/01/12,8,58,101
2013/01/13,8,57,100
2013/01/14,7,56,99
2013/01/15,5,58,98
2013/01/16,6,58,99
2013/01/17,6,56,96
2013/01/18,6,54,95
2013/01/19,7,51,94
2013/01/20,7,50,94
2013/01/21,7,48,95
2013/01/22,7,48,97
2013/01/23,6,49,99
2013/01/24,6,47,95
2013/01/25,6,45,92
2013/01/26,6,44,91
2013/01/27,6,44,92
2013/01/28,6,43,92
2013/01/29,6,44,91
2013/01/30,6,43,93
2013/01/31,6,43,93
2013/02/01,6,41,95
2013/02/02,6,43,96
2013/02/03,6,42,97
2013/02/04,6,43,97
2013/02/05,6,44,97
2013/02/06,6,45,99
2013/02/07,5,45,97
2013/02/08,5,47,99
2013/02/09,5,49,98
2013/02/10,5,49,97
2013/02/11,5,47,98
2013/02/12,5,46,96
2013/02/13,6,48,97
2013/02/14,6,47,97
2013/02/15,6,46,97
2013/02/16,6,45,100
2013/02/17,6,44,100
2013/02/18,6,43,100
2013/02/19,6,47,98
2013/02/20,6,46,98
2013/02/21,6,46,97
2013/02/22,5,48,99
