date,frrwiki (100+),frrwiki (5+),frrwiki (all)
2012/08/19,3,20,43
2012/08/20,4,20,44
2012/08/21,4,20,43
2012/08/22,4,19,45
2012/08/23,5,19,47
2012/08/24,5,19,48
2012/08/25,5,19,47
2012/08/26,5,19,45
2012/08/27,5,18,45
2012/08/28,5,19,45
2012/08/29,5,18,45
2012/08/30,5,18,45
2012/08/31,5,17,45
2012/09/01,5,17,46
2012/09/02,5,17,46
2012/09/03,5,17,48
2012/09/04,5,17,47
2012/09/05,5,17,47
2012/09/06,5,18,47
2012/09/07,5,18,47
2012/09/08,5,18,45
2012/09/09,5,18,44
2012/09/10,5,18,43
2012/09/11,5,18,43
2012/09/12,5,17,40
2012/09/13,5,17,40
2012/09/14,5,17,40
2012/09/15,5,18,39
2012/09/16,5,18,39
2012/09/17,5,18,39
2012/09/18,4,18,38
2012/09/19,4,17,37
2012/09/20,4,17,37
2012/09/21,4,16,34
2012/09/22,4,16,32
2012/09/23,4,16,31
2012/09/24,4,16,31
2012/09/25,3,17,31
2012/09/26,3,17,31
2012/09/27,3,16,31
2012/09/28,3,16,31
2012/09/29,3,16,30
2012/09/30,3,16,30
2012/10/01,3,16,27
2012/10/02,3,16,27
2012/10/03,3,16,25
2012/10/04,3,16,28
2012/10/05,3,16,28
2012/10/06,3,16,29
2012/10/07,3,17,29
2012/10/08,4,17,29
2012/10/09,4,18,28
2012/10/10,4,18,28
2012/10/11,4,18,29
2012/10/12,4,18,29
2012/10/13,4,18,29
2012/10/14,4,17,30
2012/10/15,4,17,30
2012/10/16,4,17,31
2012/10/17,4,17,32
2012/10/18,4,17,33
2012/10/19,4,17,33
2012/10/20,4,17,35
2012/10/21,4,18,35
2012/10/22,4,18,35
2012/10/23,4,19,35
2012/10/24,4,20,35
2012/10/25,5,19,34
2012/10/26,5,19,34
2012/10/27,4,19,36
2012/10/28,4,19,36
2012/10/29,4,20,37
2012/10/30,4,20,38
2012/10/31,4,21,38
2012/11/01,4,21,37
2012/11/02,4,21,38
2012/11/03,4,20,38
2012/11/04,5,20,39
2012/11/05,6,19,40
2012/11/06,6,19,39
2012/11/07,5,19,39
2012/11/08,5,19,40
2012/11/09,5,19,40
2012/11/10,5,18,41
2012/11/11,5,19,41
2012/11/12,5,20,42
2012/11/13,5,21,42
2012/11/14,5,21,41
2012/11/15,5,20,39
2012/11/16,5,20,38
2012/11/17,5,20,38
2012/11/18,5,20,38
2012/11/19,5,20,36
2012/11/20,5,20,37
2012/11/21,5,19,36
2012/11/22,5,19,38
2012/11/23,5,21,38
2012/11/24,5,21,38
