date,zh_yuewiki (100+),zh_yuewiki (5+),zh_yuewiki (all)
2012/08/19,3,34,136
2012/08/20,3,34,140
2012/08/21,3,33,137
2012/08/22,2,33,136
2012/08/23,2,34,140
2012/08/24,2,37,139
2012/08/25,2,34,141
2012/08/26,2,33,143
2012/08/27,2,33,142
2012/08/28,2,33,146
2012/08/29,3,32,146
2012/08/30,3,34,144
2012/08/31,3,33,146
2012/09/01,3,32,149
2012/09/02,2,29,143
2012/09/03,2,29,143
2012/09/04,2,29,144
2012/09/05,2,31,144
2012/09/06,2,32,141
2012/09/07,2,31,137
2012/09/08,2,30,138
2012/09/09,2,32,144
2012/09/10,2,31,142
2012/09/11,2,30,140
2012/09/12,2,30,142
2012/09/13,2,29,143
2012/09/14,2,31,145
2012/09/15,2,32,147
2012/09/16,3,30,144
2012/09/17,3,31,143
2012/09/18,3,30,141
2012/09/19,3,29,137
2012/09/20,3,29,134
2012/09/21,3,31,135
2012/09/22,3,29,132
2012/09/23,3,29,130
2012/09/24,3,28,129
2012/09/25,4,28,124
2012/09/26,3,28,124
2012/09/27,3,28,120
2012/09/28,3,29,122
2012/09/29,4,27,123
2012/09/30,4,27,123
2012/10/01,4,27,119
2012/10/02,4,26,118
2012/10/03,4,26,114
2012/10/04,4,26,110
2012/10/05,4,26,112
2012/10/06,4,24,117
2012/10/07,6,28,127
2012/10/08,6,26,127
2012/10/09,6,24,126
2012/10/10,6,24,129
2012/10/11,6,24,130
2012/10/12,6,24,128
2012/10/13,6,23,128
2012/10/14,6,22,126
2012/10/15,6,23,125
2012/10/16,6,24,127
2012/10/17,6,23,121
2012/10/18,6,24,123
2012/10/19,6,25,125
2012/10/20,6,25,132
2012/10/21,6,25,132
2012/10/22,6,25,134
2012/10/23,6,24,134
2012/10/24,6,24,135
2012/10/25,6,24,134
2012/10/26,6,26,132
2012/10/27,6,28,135
2012/10/28,6,30,134
2012/10/29,7,30,133
2012/10/30,7,29,133
2012/10/31,8,29,133
2012/11/01,8,29,137
2012/11/02,8,30,141
2012/11/03,8,31,144
2012/11/04,8,33,147
2012/11/05,8,33,142
2012/11/06,8,31,140
2012/11/07,7,32,141
2012/11/08,7,34,138
2012/11/09,7,35,140
2012/11/10,7,36,140
2012/11/11,6,37,140
2012/11/12,7,37,141
2012/11/13,7,37,142
2012/11/14,7,36,141
2012/11/15,7,39,145
2012/11/16,7,41,151
2012/11/17,7,41,154
2012/11/18,7,39,155
2012/11/19,7,39,147
2012/11/20,7,39,147
2012/11/21,7,41,149
2012/11/22,7,41,150
2012/11/23,7,41,152
2012/11/24,7,41,150
2012/11/25,7,41,152
2012/11/26,7,39,149
2012/11/27,7,39,151
2012/11/28,7,39,151
2012/11/29,7,39,153
2012/11/30,7,39,150
2012/12/01,7,39,147
2012/12/02,7,39,141
2012/12/03,6,40,139
2012/12/04,7,41,141
2012/12/05,7,41,142
2012/12/06,6,40,140
2012/12/07,5,38,138
2012/12/08,5,39,137
2012/12/09,5,39,136
2012/12/10,5,38,135
2012/12/11,5,37,136
2012/12/12,4,37,132
2012/12/13,4,37,132
2012/12/14,4,36,130
2012/12/15,5,34,126
2012/12/16,6,34,125
2012/12/17,6,35,122
2012/12/18,4,37,124
2012/12/19,4,36,124
2012/12/20,4,36,125
2012/12/21,4,33,121
2012/12/22,4,34,118
2012/12/23,4,35,116
2012/12/24,3,34,118
2012/12/25,3,35,120
2012/12/26,4,36,119
2012/12/27,4,37,117
2012/12/28,4,36,119
2012/12/29,3,34,115
2012/12/30,3,34,118
2012/12/31,3,33,119
2013/01/01,3,32,121
2013/01/02,3,31,122
2013/01/03,3,32,122
2013/01/04,3,32,122
2013/01/05,3,32,119
2013/01/06,3,32,125
2013/01/07,3,30,122
2013/01/08,3,31,122
2013/01/09,3,34,125
2013/01/10,3,34,125
2013/01/11,3,35,128
2013/01/12,3,37,131
2013/01/13,3,37,134
2013/01/14,3,38,137
2013/01/15,3,40,136
2013/01/16,3,40,138
2013/01/17,3,38,136
2013/01/18,3,40,140
2013/01/19,3,39,143
2013/01/20,3,39,145
2013/01/21,3,38,144
2013/01/22,3,37,146
2013/01/23,3,39,152
2013/01/24,2,39,151
2013/01/25,2,38,154
2013/01/26,2,39,155
2013/01/27,2,40,150
2013/01/28,2,40,150
2013/01/29,2,42,148
2013/01/30,2,43,152
2013/01/31,2,43,145
2013/02/01,2,44,144
2013/02/02,3,43,144
2013/02/03,4,43,146
2013/02/04,4,44,148
2013/02/05,4,43,149
2013/02/06,5,43,149
2013/02/07,5,42,150
2013/02/08,5,39,147
2013/02/09,5,43,147
2013/02/10,4,44,149
2013/02/11,4,41,143
