date,pntwiki (100+),pntwiki (5+),pntwiki (all)
2012/08/19,,7,24
2012/08/20,,7,23
2012/08/21,,7,23
2012/08/22,,8,23
2012/08/23,,8,24
2012/08/24,,8,24
2012/08/25,,8,24
2012/08/26,,8,21
2012/08/27,,8,22
2012/08/28,,8,22
2012/08/29,,9,22
2012/08/30,,9,22
2012/08/31,,9,22
2012/09/01,,9,23
2012/09/02,,9,23
2012/09/03,,9,24
2012/09/04,,9,24
2012/09/05,,9,23
2012/09/06,,8,24
2012/09/07,,8,24
2012/09/08,,8,22
2012/09/09,,9,22
2012/09/10,,9,22
2012/09/11,,8,23
2012/09/12,,8,23
2012/09/13,,9,21
2012/09/14,,10,23
2012/09/15,,10,24
2012/09/16,,10,23
2012/09/17,,11,23
2012/09/18,,11,22
2012/09/19,,10,22
2012/09/20,,10,22
2012/09/21,,9,22
2012/09/22,,9,22
2012/09/23,,9,22
2012/09/24,,9,21
2012/09/25,,9,20
2012/09/26,,9,20
2012/09/27,,9,20
2012/09/28,,9,20
2012/09/29,,9,20
2012/09/30,,11,22
2012/10/01,,11,20
2012/10/02,,11,19
2012/10/03,,11,19
2012/10/04,,11,19
2012/10/05,,11,20
2012/10/06,,11,20
2012/10/07,,10,20
2012/10/08,,10,20
2012/10/09,,9,19
2012/10/10,,9,19
2012/10/11,,10,18
2012/10/12,,10,18
2012/10/13,,10,19
2012/10/14,,9,17
2012/10/15,,9,17
2012/10/16,,9,18
2012/10/17,,9,17
2012/10/18,,9,17
2012/10/19,,9,17
2012/10/20,,9,17
2012/10/21,,9,18
2012/10/22,,9,18
2012/10/23,,9,19
2012/10/24,1,9,20
2012/10/25,1,9,20
2012/10/26,1,9,21
2012/10/27,1,8,20
2012/10/28,1,8,22
2012/10/29,1,8,23
2012/10/30,1,8,22
2012/10/31,1,8,22
2012/11/01,,8,22
2012/11/02,,8,24
2012/11/03,,9,24
2012/11/04,,8,24
2012/11/05,,8,24
2012/11/06,,8,24
2012/11/07,,9,24
2012/11/08,,9,24
2012/11/09,,9,23
2012/11/10,,9,23
2012/11/11,,10,25
2012/11/12,,10,24
2012/11/13,,10,24
2012/11/14,,10,25
2012/11/15,,10,26
2012/11/16,,10,26
2012/11/17,,10,26
2012/11/18,,10,26
2012/11/19,,10,26
2012/11/20,,11,27
2012/11/21,,13,26
2012/11/22,,13,25
2012/11/23,,13,25
2012/11/24,,13,24
2012/11/25,,13,24
2012/11/26,,13,24
2012/11/27,,12,25
2012/11/28,,12,26
2012/11/29,,12,26
2012/11/30,,12,28
2012/12/01,,14,28
2012/12/02,,14,28
2012/12/03,,13,28
2012/12/04,,13,28
2012/12/05,,13,28
2012/12/06,,13,28
2012/12/07,,13,29
2012/12/08,,13,30
2012/12/09,,13,30
2012/12/10,,13,30
2012/12/11,,13,30
2012/12/12,,13,29
2012/12/13,,13,28
2012/12/14,,13,27
2012/12/15,,13,27
2012/12/16,,12,27
2012/12/17,,12,27
2012/12/18,,12,27
2012/12/19,,12,27
2012/12/20,,12,27
2012/12/21,,12,27
2012/12/22,,12,28
2012/12/23,,11,28
2012/12/24,,8,28
2012/12/25,,8,27
2012/12/26,,8,28
2012/12/27,,8,29
2012/12/28,,8,29
2012/12/29,,8,29
2012/12/30,,9,27
2012/12/31,,10,27
2013/01/01,,9,26
2013/01/02,,9,30
2013/01/03,,9,31
2013/01/04,,9,31
2013/01/05,,9,31
2013/01/06,,9,30
2013/01/07,,9,28
2013/01/08,,10,28
2013/01/09,,10,30
2013/01/10,,10,30
2013/01/11,,10,29
2013/01/12,,10,29
2013/01/13,,10,29
2013/01/14,,8,31
2013/01/15,,8,30
2013/01/16,,8,32
2013/01/17,,8,32
2013/01/18,,8,32
2013/01/19,,9,33
2013/01/20,,9,33
2013/01/21,,9,33
2013/01/22,,9,34
2013/01/23,,9,34
2013/01/24,,9,34
2013/01/25,,9,33
2013/01/26,,9,32
2013/01/27,,9,31
